Name	Number	ACC	BLCA	BRCA	CESC	CHOL	COAD	DLBC	ESCA	GBM	HNSC	KICH	KIRC	KIRP	LAML	LGG	LIHC	LUAD	LUSC	MESO	OV	PAAD	PCPG	PRAD	READ	SARC	SKCM	STAD	TGCT	THCA	THYM	UCEC	UCS	UVM
Salivary secretion	16	NA	NA	0.0177800074928485	0.0195952363112026	NA	NA	NA	7.50295201667799e-05	NA	0.000347101590940677	NA	0.0198399958837572	NA	NA	NA	NA	0.00769342880453525	0.00805825264073289	NA	0.0064214632103282	NA	NA	0.0244503391619588	0.0185121624853562	NA	0.0408844951849446	0.00130522871336444	0.000667555888229476	0.000241195130707458	0.0302452538263371	NA	NA	0.0071217023423029
Nicotine addiction	15	NA	NA	0.0238459697269526	0.0181092519632225	NA	0.0139910593417038	NA	NA	0.0232443564735436	NA	NA	0.0116086695536427	NA	NA	4.70194152029203e-06	NA	0.0208126270792587	NA	NA	NA	NA	0.00562349485944279	NA	NA	0.00415880800159178	0.0298181518151456	NA	0.000997348597711949	0.00117386314286759	0.0302452538263371	0.00936386213993697	0.000533488155374339	NA
Ascorbate and aldarate metabolism	3	NA	NA	0.0268874760353642	NA	0.0310190723563195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0001454606323011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IL-17 signaling pathway	7	NA	NA	0.0352619603364048	NA	NA	NA	NA	NA	NA	NA	0.00563551838178806	0.0198399958837572	0.0415222390212235	NA	NA	NA	NA	NA	NA	0.0220716391002324	NA	NA	NA	NA	0.0101329671403001	NA	NA	NA	NA	NA	0.0336954196637654	NA	NA
Serotonergic synapse	9	NA	NA	0.0402713983724914	0.0327771753442388	NA	NA	NA	0.0187483196739477	NA	NA	NA	NA	NA	NA	0.000298486246943744	NA	NA	NA	NA	0.0220716391002324	NA	0.0396508142416416	NA	NA	NA	NA	NA	0.0234242627913308	0.032224091085555	NA	NA	0.00531733937119407	NA
Dilated cardiomyopathy (DCM)	18	NA	NA	NA	4.61606245020269e-06	NA	0.00349627977643551	NA	1.38556080853651e-07	NA	2.13300399950199e-09	NA	NA	NA	0.0340322329574161	0.0145042763227616	NA	0.0258204918816192	0.000445665089033319	NA	NA	0.00485430341048221	0.0249466434296169	0.000224498132697348	0.00223049849831781	0.0297062776091572	0.00838983437042524	1.51780798344276e-06	7.66164556364789e-07	0.00224783782364989	NA	NA	NA	0.0300659873193204
cGMP-PKG signaling pathway	9	NA	NA	NA	6.03796572400052e-06	NA	0.00202093808536458	NA	9.08411426951557e-05	NA	0.0117585884173339	NA	NA	NA	NA	NA	NA	0.00123621324645762	0.00169521665236137	NA	NA	NA	NA	NA	0.00785586179737826	NA	NA	5.59936495293095e-05	0.00201956349114061	NA	NA	NA	NA	NA
ECM-receptor interaction	16	NA	NA	NA	9.75112795943495e-06	0.00820341027535893	7.35983943441175e-11	NA	1.56227189838673e-07	NA	6.99301481816919e-08	NA	NA	NA	2.4383987000467e-06	NA	NA	0.0264730973262011	1.20522588426225e-10	2.0095005617987e-05	NA	3.24059252448255e-05	2.05233396975402e-08	NA	1.17684435404918e-11	NA	1.35935906645034e-05	5.38200885630866e-15	NA	0.0404752580794577	NA	NA	NA	0.00711339540578404
Hypertrophic cardiomyopathy (HCM)	19	NA	NA	NA	9.75112795943495e-06	NA	0.00792966379198878	NA	4.2236863318343e-07	NA	4.64886380858298e-10	NA	NA	NA	0.0345044923178469	0.0307626692345209	NA	0.0284845427334956	0.00147839431183271	0.0327392178249027	NA	0.0347641170177401	0.030698774664613	0.000224576207000565	0.00660229461136522	0.00772195854270893	0.027051497029364	1.00404536768997e-05	2.45168785095034e-05	0.0275806429934047	NA	NA	NA	0.0405349105093837
Malaria	8	NA	NA	NA	9.67223257671117e-05	NA	2.68266512719127e-06	NA	3.49498297170315e-08	NA	9.53049049552637e-05	NA	NA	NA	NA	0.00447949248103474	NA	NA	1.95214966392469e-05	NA	NA	NA	NA	NA	7.36205605665183e-05	NA	NA	0.000178798812613413	NA	NA	NA	NA	NA	NA
Circadian entrainment	12	NA	NA	NA	0.000125436993830281	NA	0.00973921801345376	NA	0.00416418681207478	NA	0.0348802921870115	NA	NA	NA	NA	0.0270150482061771	NA	NA	NA	0.00387262577146852	0.0388496305988262	NA	NA	NA	NA	NA	0.0347958473733573	2.51977277647987e-05	0.0206519128098714	0.0114533309273112	NA	NA	0.0161558362326628	NA
Vascular smooth muscle contraction	10	NA	NA	NA	0.000274215777492237	NA	0.00952790613785655	NA	0.000138828078840496	NA	NA	NA	NA	NA	NA	NA	NA	0.0188095408202439	0.0202770006707862	NA	NA	0.0095509705087387	NA	NA	0.0116847394478947	NA	NA	1.69420563950264e-05	0.0276885534004467	0.0163323879812481	NA	NA	NA	NA
Glutamatergic synapse	9	NA	NA	NA	0.000754084907603109	NA	0.014636221501206	NA	0.031326523908352	NA	NA	NA	NA	NA	NA	0.0121851316254578	NA	NA	NA	0.0124173786797315	0.016557109043433	NA	NA	NA	NA	NA	NA	0.00664542226610062	NA	0.0390801322333761	NA	0.0256943868606436	NA	NA
PI3K-Akt signaling pathway	15	NA	NA	NA	0.00125592979236665	0.034433903481749	2.2260429981262e-07	NA	5.55643834738597e-06	NA	8.93073684616288e-05	NA	NA	NA	0.00141687575811662	NA	NA	0.0208126270792587	2.41619244262345e-05	0.0034604684434149	NA	0.000765600003057625	0.000377657317440421	NA	7.66955607121685e-08	NA	0.0262260553619878	3.2897883328609e-07	NA	NA	NA	NA	NA	0.00925306155568406
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	13	NA	NA	NA	0.00146057361132396	NA	0.0106465933650597	NA	1.66136071578171e-06	NA	3.78502613803193e-07	NA	NA	NA	0.000536303257832222	NA	NA	NA	0.0104459721961089	NA	NA	0.0178736481614868	0.013470783177801	NA	0.00915210155727949	NA	0.0113265796324373	2.51977277647987e-05	0.0027577411798543	0.0390801322333761	NA	NA	NA	NA
cAMP signaling pathway	11	NA	NA	NA	0.00150571390646992	NA	0.00565503775172421	NA	0.0051900346114821	NA	0.00481143557988265	NA	NA	NA	NA	0.00444172693562773	NA	0.0116233322345025	2.41619244262345e-05	NA	NA	0.00211662294668892	NA	NA	NA	0.0046972676575476	NA	0.000214808135476192	0.0227875353094019	NA	NA	NA	NA	NA
Focal adhesion	12	NA	NA	NA	0.00264390861368431	NA	1.33753058347632e-06	NA	0.000383182994274514	NA	3.84739686911673e-05	NA	NA	NA	2.7339343961103e-05	NA	NA	NA	5.79024374278442e-05	0.00695470660510272	NA	0.00129957784647627	1.88240560585196e-05	NA	2.48957478905915e-07	NA	NA	1.20872152265768e-07	NA	NA	NA	NA	NA	0.0300659873193204
Gastric acid secretion	5	NA	NA	NA	0.00333406519639374	NA	NA	NA	0.00198255909834098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0087786728818372	NA	9.4523839968452e-05	NA	NA	NA	0.0300659873193204
Renin secretion	8	NA	NA	NA	0.00580446400394191	NA	0.0139910593417038	NA	0.00111254894059485	NA	0.00355744037968629	NA	NA	NA	NA	NA	NA	NA	0.000518773727881958	NA	NA	0.00985955362637535	NA	NA	NA	NA	NA	0.00106400695712957	0.0159277893992871	NA	NA	NA	NA	NA
Axon guidance	4	NA	NA	NA	0.00870807042111958	NA	0.00205614063623849	NA	NA	NA	NA	NA	NA	NA	0.000197309993770447	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00716304370881029	NA	NA	NA	NA	NA	NA
Wnt signaling pathway	1	NA	NA	NA	0.0100854054412815	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Renin-angiotensin system	5	NA	NA	NA	0.0143303037867271	NA	NA	NA	0.031326523908352	NA	0.0180047051529859	NA	NA	NA	NA	NA	NA	NA	0.0113653311628107	NA	NA	0.00506375702252192	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cortisol synthesis and secretion	4	NA	NA	NA	0.0183191575147523	NA	NA	NA	0.0378372234288638	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0234641725060402	NA	NA	NA	0.0110825914713271	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gap junction	4	NA	NA	NA	0.0183339449243157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0307891909114419	NA	0.0228830358438456	NA	NA	NA	0.0160789691221718
Bile secretion	7	NA	NA	NA	0.0195952363112026	2.73660180198935e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.78582250042262e-05	NA	0.00147839431183271	NA	0.0274099130295764	NA	NA	NA	NA	NA	NA	NA	NA	0.00051825477426914	NA	NA	NA	0.00925306155568406
Olfactory transduction	5	NA	NA	NA	0.0327771753442388	NA	0.0055416980187785	NA	0.010884463431066	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.59936495293095e-05	NA	0.0369410857770605	NA	NA	NA	NA
Long-term depression	1	NA	NA	NA	0.0366559613826953	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nitrogen metabolism	1	NA	NA	NA	0.0406473702564379	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPAR signaling pathway	2	NA	NA	NA	NA	3.21574160981595e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.25251093495767e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cholesterol metabolism	1	NA	NA	NA	NA	8.41422998502929e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fat digestion and absorption	3	NA	NA	NA	NA	2.0450584114942e-05	NA	NA	0.0234638127295281	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0129397923432386	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drug metabolism - other enzymes	2	NA	NA	NA	NA	2.0450584114942e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000150625889328992	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ribosome	4	NA	NA	NA	NA	0.00118766580194873	NA	NA	NA	NA	NA	NA	NA	0.0306054628877555	NA	NA	3.93391255090438e-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0440788892838913	NA
beta-Alanine metabolism	2	NA	NA	NA	NA	0.00388123029490565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00126207837797468	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Butanoate metabolism	2	NA	NA	NA	NA	0.00767800489308324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0336274758942111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABC transporters	3	NA	NA	NA	NA	0.01126733638935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0405788864686517	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0124025780462584	NA	NA	NA	NA
Primary bile acid biosynthesis	2	NA	NA	NA	NA	0.0316976380716867	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000385524318361572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fatty acid degradation	2	NA	NA	NA	NA	0.039024458097134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000346729154842995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Staphylococcus aureus infection	7	NA	NA	NA	NA	NA	4.26865984597675e-07	NA	1.17478314853363e-05	NA	NA	NA	NA	NA	0.00021411204877872	3.25150943023928e-15	NA	NA	NA	NA	NA	NA	NA	NA	0.000226253899200225	0.00012724046032127	NA	NA	0.0191424153860664	NA	NA	NA	NA	NA
Rap1 signaling pathway	7	NA	NA	NA	NA	NA	2.17102286615798e-05	NA	0.00540871645421875	NA	0.00751367699322055	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000113012098802971	NA	NA	0.00016159064835982	NA	NA	0.0127296567136029	NA	NA	NA	NA	NA	0.0405349105093837
Proteoglycans in cancer	3	NA	NA	NA	NA	NA	6.98347881493514e-05	NA	NA	NA	NA	NA	NA	NA	0.043240000666675	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000661165479080777	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aldosterone synthesis and secretion	6	NA	NA	NA	NA	NA	0.00202093808536458	NA	0.0139235362828404	NA	NA	NA	NA	NA	NA	0.0133073502257553	NA	NA	0.0235533312664455	NA	0.0147537855918833	NA	NA	NA	NA	NA	NA	0.00283356663884625	NA	NA	NA	NA	NA	NA
Platelet activation	3	NA	NA	NA	NA	NA	0.00202093808536458	NA	0.0161636508977688	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0087786728818372	NA	NA	NA	NA	NA	NA
Phagosome	3	NA	NA	NA	NA	NA	0.00275181221677126	NA	NA	NA	NA	NA	NA	NA	NA	0.000828199270953765	NA	NA	NA	NA	NA	NA	NA	NA	0.00421074102667244	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ras signaling pathway	2	NA	NA	NA	NA	NA	0.00349627977643551	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0175258522339745	NA	NA	NA	NA	NA	NA	NA	NA	NA
AGE-RAGE signaling pathway in diabetic complications	3	NA	NA	NA	NA	NA	0.00533031455549175	NA	NA	NA	NA	0.0409963121579066	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000710923497040472	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pathways in cancer	3	NA	NA	NA	NA	NA	0.0116526729745583	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0079151424487936	NA	NA	0.00237135590576121	NA	NA	NA	NA	NA	NA
Regulation of actin cytoskeleton	3	NA	NA	NA	NA	NA	0.0116526729745583	NA	NA	NA	0.0324776158340497	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0162485743271886	NA	NA	NA	NA	NA	NA	NA	NA	NA
Leukocyte transendothelial migration	1	NA	NA	NA	NA	NA	0.014636221501206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cholinergic synapse	4	NA	NA	NA	NA	NA	0.014636221501206	NA	NA	NA	NA	NA	NA	NA	NA	0.0234717484663231	NA	NA	NA	NA	0.016336636210143	NA	NA	NA	NA	NA	NA	0.00164937483102217	NA	NA	NA	NA	NA	NA
MAPK signaling pathway	1	NA	NA	NA	NA	NA	0.021086417236774	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chemokine signaling pathway	4	NA	NA	NA	NA	NA	0.0228639526974915	NA	0.00146537920684378	NA	NA	NA	NA	NA	NA	0.0105013069459268	NA	NA	NA	NA	NA	NA	NA	NA	0.0116847394478947	NA	NA	NA	NA	NA	NA	NA	NA	NA
Melanoma	2	NA	NA	NA	NA	NA	0.0282123241896355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0129751940937781	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adrenergic signaling in cardiomyocytes	8	NA	NA	NA	NA	NA	NA	NA	0.000941205348775377	NA	0.00036202414710953	NA	NA	NA	NA	0.0133073502257553	NA	NA	NA	NA	NA	NA	NA	0.0285670653980504	NA	NA	NA	8.33662056204409e-05	0.00246657818143376	0.0228830358438456	NA	NA	0.0251474772023593	NA
Intestinal immune network for IgA production	3	NA	NA	NA	NA	NA	NA	NA	0.0030652809723094	NA	NA	NA	NA	NA	NA	0.00447949248103474	NA	NA	NA	NA	NA	NA	NA	NA	0.00992853762915588	NA	NA	NA	NA	NA	NA	NA	NA	NA
African trypanosomiasis	2	NA	NA	NA	NA	NA	NA	NA	0.00342351490019276	NA	NA	NA	NA	NA	NA	0.0145042763227616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Insulin secretion	8	NA	NA	NA	NA	NA	NA	NA	0.00540871645421875	NA	0.0180047051529859	NA	NA	NA	NA	0.000807555432968127	0.0364771611793738	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0328452034799245	0.00692356251787587	0.00224783782364989	NA	NA	NA	0.0367148860885148
Thyroid hormone synthesis	3	NA	NA	NA	NA	NA	NA	NA	0.010884463431066	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000241195130707458	NA	NA	NA	0.00925306155568406
Oxytocin signaling pathway	3	NA	NA	NA	NA	NA	NA	NA	0.0234638127295281	NA	NA	NA	NA	NA	NA	0.00193491823170222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00215917069450621	NA	NA	NA	NA	NA	NA
Phospholipase D signaling pathway	1	NA	NA	NA	NA	NA	NA	NA	0.026935855512682	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alcoholism	5	NA	NA	NA	NA	NA	NA	NA	NA	0.000982366974942957	NA	NA	NA	NA	NA	NA	NA	0.0264730973262011	NA	NA	2.23858877249326e-06	0.0128163443317305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0266941634022494	NA
