Cancer	Signature	Type	HR	Low CI95	Up CI95	p-value	N/A_number	Number_Event	Likelihood_ratio_test	Wald_test	Score_test	zph
BLCA	eastern_cancer_oncology_group	(continuous)	1.544747146	1.052718479	2.266744427	0.026246657	100/40	312(75.73%)	0.035175391	0.026246657	0.026299434	0.915720257
BLCA	ESR1	(continuous)	1.02861513	0.95207132	1.111312844	0.474551832	407/178	5(1.21%)	0.475261282	0.474551832	0.47451374	0.517714155
BLCA	ESR1	H (vs L)	1.166030103	0.867521902	1.567252882	0.308649503	204/80--203/98	5(1.21%)	0.307633395	0.308649503	0.308177669	0.202447692
BLCA	ESR2	(continuous)	0.883247909	0.770780651	1.012125652	0.074014477	407/178	5(1.21%)	0.072085058	0.074014477	0.07395054	0.405032897
BLCA	ESR2	H (vs L)	0.757938931	0.563855406	1.018827552	0.066302218	204/98--203/80	5(1.21%)	0.065463737	0.066302218	0.065445153	0.273253713
BLCA	extracapsular_extension	YES (vs NO)	1.419218641	0.997817973	2.01858616	0.051437575	73/41--339/140	1(0.24%)	0.059520561	0.051437575	0.050262454	0.161262337
BLCA	family_history_cancer_type	Yes (vs No)	0.83261871	0.613440299	1.130108207	0.239901669	143/66--269/115	1(0.24%)	0.236261268	0.239901669	0.239261894	0.59738631
BLCA	gender	FEMALE (vs MALE)	1.117713128	0.808016182	1.546110912	0.501429957	108/51--304/130	1(0.24%)	0.504924325	0.501429957	0.501210032	0.563747306
BLCA	histologic_subtype	Papillary (vs Non-Papillary)	0.675275154	0.475653554	0.95867366	0.028090883	133/42--274/135	6(1.46%)	0.023281992	0.028090883	0.02710404	0.4663448
BLCA	histological_grade	Low_Grade (vs High_Grade)	0.344468403	0.085234319	1.392144409	0.134742047	21/2--388/179	4(0.97%)	0.071822628	0.134742047	0.11702207	0.150164047
BLCA	history_other_malignancy	Yes (vs No)	0.914997704	0.659970763	1.268572558	0.594105769	109/51--303/130	1(0.24%)	0.591730411	0.594105769	0.593985544	0.346265556
BLCA	incidental_prostate_cancer_indicator	YES (vs NO)	0.932329132	0.65760363	1.321826053	0.694015607	86/42--326/139	1(0.24%)	0.69219269	0.694015607	0.693956828	0.940574149
BLCA	karnofsky_performance_score	(continuous)	0.999000516	0.977740331	1.020722986	0.92740333	136/64	276(66.99%)	0.927719677	0.92740333	0.927401729	0.333335907
BLCA	lymphovascular_invasion	YES (vs NO)	1.795298696	1.337272166	2.410203016	9.86E-05	153/82--259/99	1(0.24%)	0.000127476	9.86E-05	7.85E-05	0.631439169
BLCA	new_tumor_event	Yes (vs No)	1.832175105	1.36678232	2.456035293	5.13E-05	144/93--268/88	1(0.24%)	5.60E-05	5.13E-05	3.94E-05	0.000112299
BLCA	noninvasive_bladder_history	YES (vs NO)	0.873779081	0.583461604	1.30855206	0.512575551	66/29--346/152	1(0.24%)	0.506105054	0.512575551	0.512257535	0.992649091
BLCA	number_of_lymphnodes_positive_by_he	Yes (vs None)	2.032508462	1.511818036	2.732531661	2.64E-06	120/78--292/103	1(0.24%)	4.74E-06	2.64E-06	1.62E-06	0.465538789
BLCA	pathologic_stage_v2	StageI/II (vs StageIII/IV)	0.447355989	0.309042518	0.647572321	2.02E-05	133/35--277/145	3(0.73%)	4.43E-06	2.02E-05	1.20E-05	0.34816219
BLCA	PGR	(continuous)	1.115536282	1.015945661	1.224889523	0.021932879	407/178	5(1.21%)	0.022690196	0.021932879	0.021886455	0.060890415
BLCA	PGR	H (vs L)	1.417159209	1.053928975	1.905574541	0.021021011	205/79--202/99	5(1.21%)	0.020510803	0.021021011	0.020383763	0.351802048
BLCA	pharmaceutical_tx_adjuvant	YES (vs NO)	0.665612035	0.453796838	0.976294553	0.037277042	77/32--335/149	1(0.24%)	0.029856021	0.037277042	0.035997106	0.171049664
BLCA	race	ASIAN (vs WHITE)	0.621738497	0.316476793	1.221444248	0.167781557	44/9--327/152	NA	NA	NA	NA	0.03256885
BLCA	race	BLACK_OR_AFRICAN_AMERICAN (vs WHITE)	1.254371469	0.711495125	2.211466709	0.43340138	23/13--327/152	NA	NA	NA	NA	0.657729904
BLCA	race	Global	NA	NA	NA	NA	NA	19(4.61%)	0.229005382	0.262372888	0.255944768	0.09743239
BLCA	tobacco_smoking_age_started	YES (vs NO)	1.093976408	0.813246376	1.471613544	0.552743699	175/78--237/103	1(0.24%)	0.553639348	0.552743699	0.552613041	0.46251135
BLCA	tobacco_smoking_history	(continuous)	1.0453368	0.922455888	1.184586753	0.487105539	398/175	14(3.4%)	0.487526615	0.487105539	0.486985578	0.304785893
BLCA	tobacco_smoking_history_v2	No (vs Yes)	0.855562626	0.350325314	2.089450514	0.732034262	13/5--399/176	1(0.24%)	0.725683451	0.732034262	0.731775888	0.10743568
BLCA	treatment_outcome_first_course	Partial_Remission/Response (vs Complete_Remission/Response)	4.651801469	2.688957979	8.047450753	3.86E-08	68/54--234/57	NA	NA	NA	NA	0.8187725
BLCA	treatment_outcome_first_course	Stable_Disease (vs Complete_Remission/Response)	3.559724241	2.087859061	6.069201176	3.10E-06	30/18--234/57	NA	NA	NA	NA	0.539551692
BLCA	treatment_outcome_first_course	Progressive_Disease (vs Complete_Remission/Response)	6.395690812	4.330158745	9.446503782	0	23/17--234/57	NA	NA	NA	NA	0.817262024
BLCA	treatment_outcome_first_course	Global	NA	NA	NA	NA	NA	57(13.83%)	0	0	0	0.879131625
BLCA	treatment_outcome_first_course_v2	Uncomplete_Remission/Response (vs Complete_Remission/Response)	5.125227312	3.634706443	7.226981164	0	121/89--234/57	57(13.83%)	0	0	0	0.791829166
BLCA	tumor_status	WITH_TUMOR (vs TUMOR_FREE)	5.781134504	4.051567948	8.249032617	0	165/124--222/43	26(6.31%)	0	0	0	0.039548993
BRCA	age_at_initial_pathologic_diagnosis	(continuous)	1.032682833	1.020075616	1.045445864	2.87E-07	1096/151	1(0.09%)	3.14E-07	2.87E-07	2.24E-07	0.700603547
BRCA	ajcc_pathologic_tumor_stage	Stage_I (vs Stage_III)	0.331582151	0.186960612	0.588074257	0.000159366	249/44--621/65	NA	NA	NA	NA	0.00253504
BRCA	ajcc_pathologic_tumor_stage	Stage_II (vs Stage_III)	0.521865796	0.355863448	0.765304532	0.000870765	183/16--621/65	NA	NA	NA	NA	0.002272973
BRCA	ajcc_pathologic_tumor_stage	Stage_IV (vs Stage_III)	4.313036534	2.395329419	7.766065073	1.11E-06	20/15--621/65	NA	NA	NA	NA	0.658668631
BRCA	ajcc_pathologic_tumor_stage	Stage_X (vs Stage_III)	1.388575575	0.618942203	3.115221611	0.425867639	13/7--621/65	NA	NA	NA	NA	0.780781462
BRCA	ajcc_pathologic_tumor_stage	Global	NA	NA	NA	NA	NA	12(1.09%)	5.27E-11	1.65E-14	0	0.003008098
BRCA	AR	(continuous)	1.023020208	0.959475144	1.090773797	0.486681523	1094/151	3(0.27%)	0.481961922	0.486681523	0.486540948	0.00026884
BRCA	AR	H (vs L)	1.056342717	0.766549983	1.455691032	0.737608449	548/77--546/74	3(0.27%)	0.737659655	0.737608449	0.737577523	0.034758939
BRCA	er_status_by_ihc	Negative (vs Positive)	1.36109381	0.944332842	1.961783257	0.098355745	238/41--808/100	52(4.74%)	0.106114787	0.098355745	0.097069221	0.012015109
BRCA	ESR1	(continuous)	0.997951363	0.947665155	1.050905922	0.938035532	1094/151	3(0.27%)	0.938110726	0.938035532	0.938035198	0.015652377
BRCA	ESR1	H (vs L)	1.157314359	0.840584455	1.593387216	0.370503434	548/74--546/77	3(0.27%)	0.370477368	0.370503434	0.370083136	0.291811125
BRCA	ESR2	(continuous)	0.773668792	0.646918498	0.925253183	0.004939204	1094/151	3(0.27%)	0.004876224	0.004939204	0.005025271	0.66389921
BRCA	ESR2	H (vs L)	0.642982904	0.463800969	0.891388854	0.008053777	552/91--542/60	3(0.27%)	0.007380136	0.008053777	0.00755965	0.972995933
BRCA	gender	MALE (vs FEMALE)	0.841827499	0.117528358	6.02980892	0.863909966	12/1--1085/150	1(0.09%)	0.860008259	0.863909966	0.863743446	0.671390281
BRCA	her2_status_by_ihc	Positive (vs Negative)	1.643131037	1.008597291	2.676865809	0.046114601	164/23--564/57	369(33.64%)	0.05461368	0.046114601	0.04396028	0.306722136
BRCA	histological_type	Infiltrating_Lobular_Carcinoma (vs Infiltrating_Ductal_Carcinoma)	0.846999027	0.538995165	1.331008881	0.471486397	203/23--784/106	NA	NA	NA	NA	0.930106602
BRCA	histological_type	Other_specify (vs Infiltrating_Ductal_Carcinoma)	1.276856495	0.661626936	2.464171906	0.466250004	46/10--784/106	NA	NA	NA	NA	0.354456178
BRCA	histological_type	Mixed_Histology_(please_specify) (vs Infiltrating_Ductal_Carcinoma)	1.02135518	0.448171526	2.327605262	0.959900604	30/6--784/106	NA	NA	NA	NA	0.503591711
BRCA	histological_type	Mucinous_Carcinoma (vs Infiltrating_Ductal_Carcinoma)	4.079650819	1.28149783	12.98757627	0.017323394	17/3--784/106	NA	NA	NA	NA	0.73133509
BRCA	histological_type	Metaplastic_Carcinoma (vs Infiltrating_Ductal_Carcinoma)	2.357963647	0.327483883	16.97791202	0.394408646	9/1--784/106	NA	NA	NA	NA	0.855862379
BRCA	histological_type	Medullary_Carcinoma (vs Infiltrating_Ductal_Carcinoma)	1.06538655	0.261399885	4.34219204	0.929596143	6/2--784/106	NA	NA	NA	NA	0.028798837
BRCA	histological_type	Infiltrating_Carcinoma_NOS (vs Infiltrating_Ductal_Carcinoma)	1.02E-05	0	Inf	0.995891408	1/0--784/106	NA	NA	NA	NA	0.99963864
BRCA	histological_type	Global	NA	NA	NA	NA	NA	2(0.18%)	0.576343614	0.361870655	0.266622358	0.488465838
BRCA	history_other_malignancy	Yes (vs No)	1.469623291	0.745093147	2.898688071	0.26660069	68/9--1029/142	1(0.09%)	0.292490342	0.26660069	0.263662364	0.673433218
BRCA	margin_status	Positive (vs Negative)	1.980990721	1.203619017	3.260437217	0.007166936	79/19--920/89	NA	NA	NA	NA	0.072833381
BRCA	margin_status	Close (vs Negative)	1.904431	0.830123676	4.369056731	0.128383008	31/6--920/89	NA	NA	NA	NA	0.830465037
BRCA	margin_status	Global	NA	NA	NA	NA	NA	68(6.2%)	0.021386025	0.012562802	0.010630557	0.200055842
BRCA	menopause_status	Pre (vs Post)	0.456905363	0.275127304	0.758785143	0.002473551	229/18--705/91	NA	NA	NA	NA	0.29753229
BRCA	menopause_status	Peri (vs Post)	0.178340652	0.024840623	1.280378016	0.086488454	39/1--705/91	NA	NA	NA	NA	0.453827055
BRCA	menopause_status	Indeterminate (vs Post)	0.666856654	0.362137679	1.227979918	0.193363791	34/15--705/91	NA	NA	NA	NA	0.090190466
BRCA	menopause_status	Global	NA	NA	NA	NA	NA	91(8.3%)	0.001503579	0.005939323	0.003590033	0.171846257
BRCA	micromet_detection_by_ihc	YES (vs NO)	0.409012645	0.240947997	0.694304773	0.000928624	263/18--467/66	367(33.45%)	0.000393749	0.000928624	0.000630666	0.969553268
BRCA	new_tumor_event_dx_days_to	Yes (vs No)	3.14129467	2.250813841	4.384073007	1.70E-11	113/60--984/91	1(0.09%)	2.05E-10	1.70E-11	1.66E-12	0.012423888
BRCA	new_tumor_event_type	Distant_Metastasis (vs No)	5.346471344	3.750043861	7.622512401	0	64/46--995/95	NA	NA	NA	NA	0.096301392
BRCA	new_tumor_event_type	New_Primary_Tumor (vs No)	0.678508678	0.246841166	1.865061787	0.452169253	19/4--995/95	NA	NA	NA	NA	0.143607824
BRCA	new_tumor_event_type	Locoregional_Disease (vs No)	1.939703064	0.780583566	4.820045081	0.153700228	10/5--995/95	NA	NA	NA	NA	0.683106538
BRCA	new_tumor_event_type	Locoregional_Recurrence (vs No)	0.785079322	0.109331685	5.637428356	0.809890699	9/1--995/95	NA	NA	NA	NA	0.663967276
BRCA	new_tumor_event_type	Global	NA	NA	NA	NA	NA	1(0.09%)	2.10E-14	0	0	0.345091237
BRCA	number_of_lymphnodes_positive_by_he	Yes (vs None)	1.60419281	1.162222471	2.214235772	0.004050389	473/86--624/65	1(0.09%)	0.003821405	0.004050389	0.003720215	0.341239188
BRCA	number_of_lymphnodes_positive_by_ihc	Yes (vs No)	0.825164527	0.386026364	1.763860087	0.620032521	61/7--1036/144	1(0.09%)	0.609721847	0.620032521	0.61949432	0.896662267
BRCA	pathologic_stage_v2	StageIII/IV (vs StageI/II)	2.648561783	1.892892876	3.705904124	1.32E-08	269/59--804/81	NA	NA	NA	NA	0.000348274
BRCA	pathologic_stage_v2	Stage_X (vs StageI/II)	2.970724011	1.360707075	6.485746504	0.006273832	13/7--804/81	NA	NA	NA	NA	0.057566107
BRCA	pathologic_stage_v2	Global	NA	NA	NA	NA	NA	12(1.09%)	6.91E-08	2.06E-08	4.67E-09	0.000727299
BRCA	PGR	(continuous)	0.961001736	0.917754416	1.006286999	0.090418237	1094/151	3(0.27%)	0.092446309	0.090418237	0.089768203	0.008770116
BRCA	PGR	H (vs L)	0.750689021	0.544930438	1.034139344	0.07933317	548/79--546/72	3(0.27%)	0.079171601	0.07933317	0.078326619	0.004920516
BRCA	postoperative_rx_tx	YES (vs NO)	0.88192566	0.476148759	1.633508131	0.689498756	127/11--970/140	1(0.09%)	0.68427054	0.689498756	0.689306248	0.526676143
BRCA	pr_status_by_ihc	Negative (vs Positive)	1.334549908	0.95237854	1.870079368	0.093637354	344/56--699/86	55(5.01%)	0.097517294	0.093637354	0.092518286	0.000921224
BRCA	race	BLACK_OR_AFRICAN_AMERICAN (vs WHITE)	1.223177872	0.816961836	1.831375764	0.327947421	183/30--757/111	NA	NA	NA	NA	0.967350325
BRCA	race	ASIAN (vs WHITE)	0.754134313	0.238658661	2.38297894	0.630723984	61/3--757/111	NA	NA	NA	NA	0.60393388
BRCA	race	AMERICAN_INDIAN_OR_ALASKA_NATIVE (vs WHITE)	1.70E-05	0	Inf	0.994261689	1/0--757/111	NA	NA	NA	NA	0.999483728
BRCA	race	Global	NA	NA	NA	NA	NA	96(8.75%)	0.727336969	0.737263122	0.729331523	0.965729747
BRCA	radiation_therapy	YES (vs NO)	1.182189629	0.600468229	2.327470883	0.6282103	73/9--1024/142	1(0.09%)	0.636336761	0.6282103	0.62781034	0.853495044
BRCA	surgical_procedure_first	Other (vs Modified_Radical_Mastectomy)	0.707100474	0.470526108	1.062621332	0.095375553	272/39--322/58	NA	NA	NA	NA	0.14118208
BRCA	surgical_procedure_first	Lumpectomy (vs Modified_Radical_Mastectomy)	0.563738595	0.348626063	0.911581884	0.019413082	247/24--322/58	NA	NA	NA	NA	0.270853814
BRCA	surgical_procedure_first	Simple_Mastectomy (vs Modified_Radical_Mastectomy)	0.53877929	0.314963387	0.921640847	0.02395357	200/18--322/58	NA	NA	NA	NA	0.929807904
BRCA	surgical_procedure_first	Global	NA	NA	NA	NA	NA	57(5.2%)	0.037224118	0.036155576	0.033294975	0.380797047
BRCA	tumor_status	WITH_TUMOR (vs TUMOR_FREE)	10.93158784	7.653983443	15.61273468	0	126/83--935/49	37(3.37%)	0	0	0	0.005554886
CESC	age_at_initial_pathologic_diagnosis	(continuous)	1.016860619	0.999272521	1.034758283	0.060351851	307/71	0(0%)	0.062968722	0.060351851	0.059697112	0.819235627
CESC	AR	(continuous)	1.042854209	0.931958968	1.166945046	0.464463961	304/71	3(0.98%)	0.469940213	0.464463961	0.46415763	0.082047593
CESC	AR	H (vs L)	1.063014386	0.667409977	1.693111617	0.796933898	152/35--152/36	3(0.98%)	0.796920878	0.796933898	0.796903073	0.085041665
CESC	BMI	(continuous)	0.952253852	0.910819291	0.995573334	0.03112883	262/52	45(14.66%)	0.024274343	0.03112883	0.031339748	0.753645291
CESC	BMI_category	Over (vs Normal)	0.480094338	0.23114355	0.997175017	0.049119877	88/16--99/26	NA	NA	NA	NA	0.239438102
CESC	BMI_category	Obesity (vs Normal)	0.645043368	0.345771064	1.203342298	0.168162133	75/10--99/26	NA	NA	NA	NA	0.874157851
CESC	BMI_category	Global	NA	NA	NA	NA	NA	45(14.66%)	0.100774287	0.10634332	0.098781926	0.425218679
CESC	clinical_stage	Stage_II (vs Stage_I)	0.807604996	0.410257197	1.589797414	0.536336965	70/11--163/36	NA	NA	NA	NA	0.342514745
CESC	clinical_stage	Stage_III (vs Stage_I)	1.241052066	0.615433886	2.502641251	0.546189788	46/10--163/36	NA	NA	NA	NA	0.37775378
CESC	clinical_stage	Stage_IV (vs Stage_I)	4.447563211	2.393038074	8.265985707	2.37E-06	21/14--163/36	NA	NA	NA	NA	0.089690121
CESC	clinical_stage	Global	NA	NA	NA	NA	NA	7(2.28%)	0.000229696	9.90E-06	7.85E-07	0.345599972
CESC	clinical_stage_v2	StageIII/IV (vs StageI/II)	2.259777538	1.380683119	3.698599957	0.001181893	67/24--233/47	7(2.28%)	0.002107401	0.001181893	0.000858929	0.114816273
CESC	corpus_involvement	PRESENT (vs ABSENT)	3.211246212	1.235186056	8.34862261	0.016699426	19/7--99/11	189(61.56%)	0.024581652	0.016699426	0.011478298	0.100027489
CESC	ESR1	(continuous)	0.982349547	0.878712233	1.09821008	0.754233582	304/71	3(0.98%)	0.754178296	0.754233582	0.754228206	0.33186833
CESC	ESR1	H (vs L)	0.95803178	0.601420718	1.526094569	0.856770467	152/36--152/35	3(0.98%)	0.856761579	0.856770467	0.856759661	0.880536923
CESC	ESR2	(continuous)	0.848583061	0.656332589	1.097146817	0.210340153	304/71	3(0.98%)	0.203720753	0.210340153	0.211476684	0.757433778
CESC	ESR2	H (vs L)	0.727810791	0.455413945	1.163136423	0.184110242	153/38--151/33	3(0.98%)	0.183348254	0.184110242	0.182322078	0.859187584
CESC	histological_grade	GX (vs G3)	2.375012843	1.087319249	5.187699942	0.03000875	120/22--136/37	NA	NA	NA	NA	0.653104517
CESC	histological_grade	G4 (vs G3)	3.27E-07	0	Inf	0.995555442	24/9--136/37	NA	NA	NA	NA	0.99991925
CESC	histological_grade	G2 (vs G3)	1.175424434	0.692365589	1.995510205	0.549482107	18/2--136/37	NA	NA	NA	NA	0.813798755
CESC	histological_grade	G1 (vs G3)	0.623984653	0.146362827	2.660216772	0.523809007	1/0--136/37	NA	NA	NA	NA	0.725666003
CESC	histological_grade	Global	NA	NA	NA	NA	NA	8(2.61%)	0.190699721	0.219869301	0.159032813	0.967716368
CESC	histological_grade_v2	G_3/4/High (vs G_1/2/Low)	0.873063463	0.517060719	1.474178528	0.611527591	121/22--154/39	NA	NA	NA	NA	0.806380264
CESC	histological_grade_v2	GX (vs G_1/2/Low)	2.120846641	1.018786889	4.415045508	0.04446101	24/9--154/39	NA	NA	NA	NA	0.537576494
CESC	histological_grade_v2	Global	NA	NA	NA	NA	NA	8(2.61%)	0.113227216	0.074765751	0.064975955	0.823833513
CESC	histological_type	Adenocarcinoma (vs Cervical_Squamous_Cell_Carcinoma)	0.947380322	0.483945659	1.854607967	0.874677152	47/10--254/60	NA	NA	NA	NA	0.695952208
CESC	histological_type	Adenosquamous (vs Cervical_Squamous_Cell_Carcinoma)	1.605381988	0.219323778	11.75089791	0.641155349	6/1--254/60	NA	NA	NA	NA	0.742227503
CESC	histological_type	Global	NA	NA	NA	NA	NA	0(0%)	0.895908698	0.882448871	0.880495584	0.883100031
CESC	history_hormonal_contraceptives_use	Former_User (vs Never_Used)	0.591887435	0.262136961	1.336441583	0.206928425	54/8--90/21	NA	NA	NA	NA	0.139419177
CESC	history_hormonal_contraceptives_use	Current_User (vs Never_Used)	1.101965735	0.327816323	3.704295348	0.875272465	15/3--90/21	NA	NA	NA	NA	0.083711644
CESC	history_hormonal_contraceptives_use	Global	NA	NA	NA	NA	NA	148(48.21%)	0.387951854	0.416519924	0.407698781	0.041886545
CESC	keratinization_squamous_cell	Keratinizing (vs Non-keratinizing)	1.685609655	0.87247065	3.256590817	0.12019946	55/20--120/18	132(43%)	0.121221959	0.12019946	0.116774083	0.968577668
CESC	lymphovascular_involvement	ABSENT (vs PRESENT)	0.100221998	0.023568989	0.42617224	0.001840257	72/2--80/23	155(50.49%)	2.63E-05	0.001840257	0.000124817	0.362972866
CESC	menopause_status	Post (vs Pre)	1.184322265	0.678889536	2.066049266	0.55127872	84/24--125/26	NA	NA	NA	NA	0.265343819
CESC	menopause_status	Peri (vs Pre)	0.677883244	0.235768265	1.949056592	0.470601624	25/4--125/26	NA	NA	NA	NA	0.524132836
