Cancer	Signature	Type	HR	Low CI95	Up CI95	p-value	N/A_number	Number_Event	Likelihood_ratio_test	Wald_test	Score_test	zph
BLCA	histologic_subtype	Papillary (vs Non-Papillary)	0.675275154	0.475653554	0.95867366	0.028090883	133/42--274/135	6(1.46%)	0.023281992	0.028090883	0.02710404	0.4663448
BLCA	lymphovascular_invasion	YES (vs NO)	1.795298696	1.337272166	2.410203016	9.86E-05	153/82--259/99	1(0.24%)	0.000127476	9.86E-05	7.85E-05	0.631439169
BLCA	extracapsular_extension	YES (vs NO)	1.419218641	0.997817973	2.01858616	0.051437575	73/41--339/140	1(0.24%)	0.059520561	0.051437575	0.050262454	0.161262337
BRCA	AR	(continuous)	1.023020208	0.959475144	1.090773797	0.486681523	1094/151	3(0.27%)	0.481961922	0.486681523	0.486540948	0.00026884
BRCA	AR	H (vs L)	1.056342717	0.766549983	1.455691032	0.737608449	548/77--546/74	3(0.27%)	0.737659655	0.737608449	0.737577523	0.034758939
BRCA	ESR1	(continuous)	0.997951363	0.947665155	1.050905922	0.938035532	1094/151	3(0.27%)	0.938110726	0.938035532	0.938035198	0.015652377
BRCA	ESR1	H (vs L)	1.157314359	0.840584455	1.593387216	0.370503434	548/74--546/77	3(0.27%)	0.370477368	0.370503434	0.370083136	0.291811125
BRCA	ESR2	(continuous)	0.773668792	0.646918498	0.925253183	0.004939204	1094/151	3(0.27%)	0.004876224	0.004939204	0.005025271	0.66389921
BRCA	ESR2	H (vs L)	0.642982904	0.463800969	0.891388854	0.008053777	552/91--542/60	3(0.27%)	0.007380136	0.008053777	0.00755965	0.972995933
BRCA	PGR	(continuous)	0.961001736	0.917754416	1.006286999	0.090418237	1094/151	3(0.27%)	0.092446309	0.090418237	0.089768203	0.008770116
BRCA	PGR	H (vs L)	0.750689021	0.544930438	1.034139344	0.07933317	548/79--546/72	3(0.27%)	0.079171601	0.07933317	0.078326619	0.004920516
BRCA	age_at_initial_pathologic_diagnosis	(continuous)	1.032682833	1.020075616	1.045445864	2.87E-07	1096/151	1(0.09%)	3.14E-07	2.87E-07	2.24E-07	0.700603547
BRCA	gender	MALE (vs FEMALE)	0.841827499	0.117528358	6.02980892	0.863909966	12/1--1085/150	1(0.09%)	0.860008259	0.863909966	0.863743446	0.671390281
BRCA	ajcc_pathologic_tumor_stage	Stage_II (vs Stage_I)	1.573865767	0.910408832	2.720814389	0.104399094	249/44--621/65	NA	NA	NA	NA	0.305105006
BRCA	ajcc_pathologic_tumor_stage	Stage_III (vs Stage_I)	3.015843877	1.700465524	5.348720196	0.000159366	183/16--621/65	NA	NA	NA	NA	0.00253504
BRCA	ajcc_pathologic_tumor_stage	Stage_IV (vs Stage_I)	13.00744482	6.416348659	26.36914385	1.12E-12	20/15--621/65	NA	NA	NA	NA	0.037498356
BRCA	ajcc_pathologic_tumor_stage	Stage_X (vs Stage_I)	4.187727144	1.710457182	10.25284866	0.001719147	13/7--621/65	NA	NA	NA	NA	0.029026523
BRCA	ajcc_pathologic_tumor_stage	Global	NA	NA	NA	NA	NA	12(1.09%)	5.27E-11	1.65E-14	0	0.003008098
BRCA	pathologic_stage_v2	StageIII/IV (vs StageI/II)	2.648561783	1.892892876	3.705904124	1.32E-08	269/59--804/81	NA	NA	NA	NA	0.000348274
BRCA	pathologic_stage_v2	Stage_X (vs StageI/II)	2.970724011	1.360707075	6.485746504	0.006273832	13/7--804/81	NA	NA	NA	NA	0.057566107
BRCA	pathologic_stage_v2	Global	NA	NA	NA	NA	NA	12(1.09%)	6.91E-08	2.06E-08	4.67E-09	0.000727299
BRCA	histological_type	Infiltrating_Lobular_Carcinoma (vs Infiltrating_Ductal_Carcinoma)	0.846999027	0.538995165	1.331008881	0.471486397	203/23--784/106	NA	NA	NA	NA	0.930106602
BRCA	histological_type	Other_specify (vs Infiltrating_Ductal_Carcinoma)	1.276856495	0.661626936	2.464171906	0.466250004	46/10--784/106	NA	NA	NA	NA	0.354456178
BRCA	histological_type	Mixed_Histology_(please_specify) (vs Infiltrating_Ductal_Carcinoma)	1.02135518	0.448171526	2.327605262	0.959900604	30/6--784/106	NA	NA	NA	NA	0.503591711
BRCA	histological_type	Mucinous_Carcinoma (vs Infiltrating_Ductal_Carcinoma)	4.079650819	1.28149783	12.98757627	0.017323394	17/3--784/106	NA	NA	NA	NA	0.73133509
BRCA	histological_type	Metaplastic_Carcinoma (vs Infiltrating_Ductal_Carcinoma)	2.357963647	0.327483883	16.97791202	0.394408646	9/1--784/106	NA	NA	NA	NA	0.855862379
BRCA	histological_type	Medullary_Carcinoma (vs Infiltrating_Ductal_Carcinoma)	1.06538655	0.261399885	4.34219204	0.929596143	6/2--784/106	NA	NA	NA	NA	0.028798837
BRCA	histological_type	Infiltrating_Carcinoma_NOS (vs Infiltrating_Ductal_Carcinoma)	1.02E-05	0	Inf	0.995891408	1/0--784/106	NA	NA	NA	NA	0.99963864
BRCA	histological_type	Global	NA	NA	NA	NA	NA	2(0.18%)	0.576343614	0.361870655	0.266622358	0.488465838
BRCA	menopause_status	Pre (vs Post)	0.456905363	0.275127304	0.758785143	0.002473551	229/18--705/91	NA	NA	NA	NA	0.29753229
BRCA	menopause_status	Peri (vs Post)	0.178340652	0.024840623	1.280378016	0.086488454	39/1--705/91	NA	NA	NA	NA	0.453827055
BRCA	menopause_status	Indeterminate (vs Post)	0.666856654	0.362137679	1.227979918	0.193363791	34/15--705/91	NA	NA	NA	NA	0.090190466
BRCA	menopause_status	Global	NA	NA	NA	NA	NA	91(8.3%)	0.001503579	0.005939323	0.003590033	0.171846257
BRCA	tumor_status	WITH_TUMOR (vs TUMOR_FREE)	10.93158784	7.653983443	15.61273468	0	126/83--935/49	37(3.37%)	0	0	0	0.005554886
BRCA	margin_status	Positive (vs Negative)	1.980990721	1.203619017	3.260437217	0.007166936	79/19--920/89	NA	NA	NA	NA	0.072833381
BRCA	margin_status	Close (vs Negative)	1.904431	0.830123676	4.369056731	0.128383008	31/6--920/89	NA	NA	NA	NA	0.830465037
BRCA	margin_status	Global	NA	NA	NA	NA	NA	68(6.2%)	0.021386025	0.012562802	0.010630557	0.200055842
BRCA	new_tumor_event_type	Distant_Metastasis (vs No)	5.346471344	3.750043861	7.622512401	0	64/46--995/95	NA	NA	NA	NA	0.096301392
BRCA	new_tumor_event_type	New_Primary_Tumor (vs No)	0.678508678	0.246841166	1.865061787	0.452169253	19/4--995/95	NA	NA	NA	NA	0.143607824
BRCA	new_tumor_event_type	Locoregional_Disease (vs No)	1.939703064	0.780583566	4.820045081	0.153700228	10/5--995/95	NA	NA	NA	NA	0.683106538
BRCA	new_tumor_event_type	Locoregional_Recurrence (vs No)	0.785079322	0.109331685	5.637428356	0.809890699	9/1--995/95	NA	NA	NA	NA	0.663967276
BRCA	new_tumor_event_type	Global	NA	NA	NA	NA	NA	1(0.09%)	2.10E-14	0	0	0.345091237
BRCA	new_tumor_event_dx_days_to	Yes (vs No)	3.14129467	2.250813841	4.384073007	1.70E-11	113/60--984/91	1(0.09%)	2.05E-10	1.70E-11	1.66E-12	0.012423888
BRCA	number_of_lymphnodes_positive_by_he	Yes (vs None)	1.60419281	1.162222471	2.214235772	0.004050389	473/86--624/65	1(0.09%)	0.003821405	0.004050389	0.003720215	0.341239188
BRCA	surgical_procedure_first	Other (vs Modified_Radical_Mastectomy)	0.707100474	0.470526108	1.062621332	0.095375553	272/39--322/58	NA	NA	NA	NA	0.14118208
BRCA	surgical_procedure_first	Lumpectomy (vs Modified_Radical_Mastectomy)	0.563738595	0.348626063	0.911581884	0.019413082	247/24--322/58	NA	NA	NA	NA	0.270853814
BRCA	surgical_procedure_first	Simple_Mastectomy (vs Modified_Radical_Mastectomy)	0.53877929	0.314963387	0.921640847	0.02395357	200/18--322/58	NA	NA	NA	NA	0.929807904
BRCA	surgical_procedure_first	Global	NA	NA	NA	NA	NA	57(5.2%)	0.037224118	0.036155576	0.033294975	0.380797047
BRCA	micromet_detection_by_ihc	YES (vs NO)	0.409012645	0.240947997	0.694304773	0.000928624	263/18--467/66	367(33.45%)	0.000393749	0.000928624	0.000630666	0.969553268
BRCA	er_status_by_ihc	Negative (vs Positive)	1.36109381	0.944332842	1.961783257	0.098355745	238/41--808/100	52(4.74%)	0.106114787	0.098355745	0.097069221	0.012015109
BRCA	pr_status_by_ihc	Negative (vs Positive)	1.334549908	0.95237854	1.870079368	0.093637354	344/56--699/86	55(5.01%)	0.097517294	0.093637354	0.092518286	0.000921224
BRCA	her2_status_by_ihc	Positive (vs Negative)	1.643131037	1.008597291	2.676865809	0.046114601	164/23--564/57	369(33.64%)	0.05461368	0.046114601	0.04396028	0.306722136
CESC	AR	(continuous)	1.042854209	0.931958968	1.166945046	0.464463961	304/71	3(0.98%)	0.469940213	0.464463961	0.46415763	0.082047593
CESC	AR	H (vs L)	1.063014386	0.667409977	1.693111617	0.796933898	152/35--152/36	3(0.98%)	0.796920878	0.796933898	0.796903073	0.085041665
CESC	ESR1	(continuous)	0.982349547	0.878712233	1.09821008	0.754233582	304/71	3(0.98%)	0.754178296	0.754233582	0.754228206	0.33186833
CESC	ESR1	H (vs L)	0.95803178	0.601420718	1.526094569	0.856770467	152/36--152/35	3(0.98%)	0.856761579	0.856770467	0.856759661	0.880536923
CESC	ESR2	(continuous)	0.848583061	0.656332589	1.097146817	0.210340153	304/71	3(0.98%)	0.203720753	0.210340153	0.211476684	0.757433778
CESC	ESR2	H (vs L)	0.727810791	0.455413945	1.163136423	0.184110242	153/38--151/33	3(0.98%)	0.183348254	0.184110242	0.182322078	0.859187584
CESC	PGR	(continuous)	0.93312556	0.840930078	1.035428905	0.192223243	304/71	3(0.98%)	0.185266213	0.192223243	0.192218101	0.37199183
CESC	PGR	H (vs L)	0.662776223	0.412477389	1.064960972	0.089157513	153/42--151/29	3(0.98%)	0.086265019	0.089157513	0.08694881	0.044148662
CESC	BMI	(continuous)	0.952253852	0.910819291	0.995573334	0.03112883	262/52	45(14.66%)	0.024274343	0.03112883	0.031339748	0.753645291
CESC	age_at_initial_pathologic_diagnosis	(continuous)	1.016860619	0.999272521	1.034758283	0.060351851	307/71	0(0%)	0.062968722	0.060351851	0.059697112	0.819235627
CESC	BMI_category	Over (vs Normal)	0.480094338	0.23114355	0.997175017	0.049119877	88/16--99/26	NA	NA	NA	NA	0.239438102
CESC	BMI_category	Obesity (vs Normal)	0.645043368	0.345771064	1.203342298	0.168162133	75/10--99/26	NA	NA	NA	NA	0.874157851
CESC	BMI_category	Global	NA	NA	NA	NA	NA	45(14.66%)	0.100774287	0.10634332	0.098781926	0.425218679
CESC	clinical_stage	Stage_II (vs Stage_I)	0.807604996	0.410257197	1.589797414	0.536336965	70/11--163/36	NA	NA	NA	NA	0.342514745
CESC	clinical_stage	Stage_III (vs Stage_I)	1.241052066	0.615433886	2.502641251	0.546189788	46/10--163/36	NA	NA	NA	NA	0.37775378
CESC	clinical_stage	Stage_IV (vs Stage_I)	4.447563211	2.393038074	8.265985707	2.37E-06	21/14--163/36	NA	NA	NA	NA	0.089690121
CESC	clinical_stage	Global	NA	NA	NA	NA	NA	7(2.28%)	0.000229696	9.90E-06	7.85E-07	0.345599972
CESC	clinical_stage_v2	StageIII/IV (vs StageI/II)	2.259777538	1.380683119	3.698599957	0.001181893	67/24--233/47	7(2.28%)	0.002107401	0.001181893	0.000858929	0.114816273
CESC	histological_grade	G2 (vs G1)	1.883739333	0.452234029	7.846543269	0.384363208	120/22--136/37	NA	NA	NA	NA	0.657060044
CESC	histological_grade	G3 (vs G1)	1.602603519	0.375909216	6.832335927	0.523809007	24/9--136/37	NA	NA	NA	NA	0.725666003
CESC	histological_grade	G4 (vs G1)	5.24E-07	0	Inf	0.995695801	18/2--136/37	NA	NA	NA	NA	0.99999651
CESC	histological_grade	GX (vs G1)	3.806203939	0.821988748	17.62455809	0.08739854	1/0--136/37	NA	NA	NA	NA	0.918068405
CESC	histological_grade	Global	NA	NA	NA	NA	NA	8(2.61%)	0.190699721	0.219869301	0.159032813	0.967716368
CESC	histological_grade_v2	G_3/4/High (vs G_1/2/Low)	0.873063463	0.517060719	1.474178528	0.611527591	121/22--154/39	NA	NA	NA	NA	0.806380264
CESC	histological_grade_v2	GX (vs G_1/2/Low)	2.120846641	1.018786889	4.415045508	0.04446101	24/9--154/39	NA	NA	NA	NA	0.537576494
CESC	histological_grade_v2	Global	NA	NA	NA	NA	NA	8(2.61%)	0.113227216	0.074765751	0.064975955	0.823833513
CESC	histological_type	Adenocarcinoma (vs Cervical_Squamous_Cell_Carcinoma)	0.947380322	0.483945659	1.854607967	0.874677152	47/10--254/60	NA	NA	NA	NA	0.695952208
CESC	histological_type	Adenosquamous (vs Cervical_Squamous_Cell_Carcinoma)	1.605381988	0.219323778	11.75089791	0.641155349	6/1--254/60	NA	NA	NA	NA	0.742227503
CESC	histological_type	Global	NA	NA	NA	NA	NA	0(0%)	0.895908698	0.882448871	0.880495584	0.883100031
CESC	tumor_status	WITH_TUMOR (vs TUMOR_FREE)	21.72327464	11.35692009	41.55181661	0	80/53--200/14	27(8.79%)	0	0	0	0.78244473
CESC	treatment_outcome_first_course_v2	Uncomplete_Remission/Response (vs Complete_Remission/Response)	13.61497811	7.305963304	25.37209965	2.22E-16	36/26--183/22	88(28.66%)	1.44E-15	2.22E-16	0	0.457046418
CESC	new_tumor_event_type	Distant_Metastasis (vs No)	3.910426009	2.273636768	6.725538477	8.28E-07	31/20--260/40	NA	NA	NA	NA	0.17890766
CESC	new_tumor_event_type	Locoregional_Recurrence (vs No)	4.584600743	2.124946566	9.891337648	0.000103959	13/8--260/40	NA	NA	NA	NA	0.349026878
CESC	new_tumor_event_type	New_Primary_Tumor (vs No)	50.58409376	13.54208869	188.9479975	5.36E-09	3/3--260/40	NA	NA	NA	NA	0.639963887
CESC	new_tumor_event_type	Global	NA	NA	NA	NA	NA	0(0%)	3.82E-09	3.60E-12	0	0.523906638
CESC	new_tumor_event_dx_days_to	Yes (vs No)	4.463667317	2.776890378	7.175049498	6.52E-10	48/32--259/39	0(0%)	5.54E-09	6.52E-10	1.42E-11	0.176672205
CESC	number_of_lymphnodes_positive_by_he	Yes (vs No)	1.273486698	0.737278879	2.199667474	0.385960763	52/17--255/54	0(0%)	0.396107881	0.385960763	0.384819021	0.143040188
CESC	performance_status_scale_timing	Pre-Adjuvant_Therapy (vs Preoperative)	1.877150114	0.933366233	3.7752518	0.077306911	52/18--96/14	NA	NA	NA	NA	0.496299495
CESC	performance_status_scale_timing	Post-Adjuvant_Therapy (vs Preoperative)	0.479206679	0.062676745	3.66386353	0.478449919	15/1--96/14	NA	NA	NA	NA	0.067358115
CESC	performance_status_scale_timing	Other (vs Preoperative)	4.624670058	1.318025361	16.2269815	0.016797184	9/3--96/14	NA	NA	NA	NA	0.053495764
CESC	performance_status_scale_timing	Global	NA	NA	NA	NA	NA	135(43.97%)	0.049581432	0.040920452	0.024395661	0.042761206
CESC	lymphovascular_involvement	ABSENT (vs PRESENT)	0.100221998	0.023568989	0.42617224	0.001840257	72/2--80/23	155(50.49%)	2.63E-05	0.001840257	0.000124817	0.362972866
CESC	corpus_involvement	PRESENT (vs ABSENT)	3.211246212	1.235186056	8.34862261	0.016699426	19/7--99/11	189(61.56%)	0.024581652	0.016699426	0.011478298	0.100027489
CHOL	AR	(continuous)	0.978289495	0.800700369	1.195266511	0.829954272	36/18	9(20%)	0.829561413	0.829954272	0.829907471	0.2607616
CHOL	AR	H (vs L)	0.729633364	0.282310998	1.885738958	0.515277356	18/11--18/7	9(20%)	0.511219581	0.515277356	0.51355809	0.176200545
CHOL	ESR1	(continuous)	0.953361053	0.702996343	1.292890506	0.758628764	36/18	9(20%)	0.757181383	0.758628764	0.758505527	0.00816687
CHOL	ESR1	H (vs L)	1.07711135	0.423585568	2.738924427	0.87603344	18/10--18/8	9(20%)	0.87621299	0.87603344	0.876005791	0.029197718
CHOL	ESR2	(continuous)	0.921184988	0.66755677	1.271175458	0.617329033	36/18	9(20%)	0.613810398	0.617329033	0.617151794	0.754587759
CHOL	ESR2	H (vs L)	1.298082115	0.497957314	3.383858672	0.593565354	18/9--18/9	9(20%)	0.593132686	0.593565354	0.592553897	0.394718942
CHOL	PGR	(continuous)	0.898366461	0.628306852	1.284503416	0.556861955	36/18	9(20%)	0.557186554	0.556861955	0.556415362	0.424419151
CHOL	PGR	H (vs L)	0.490884297	0.183972737	1.309799468	0.155314659	18/12--18/6	9(20%)	0.143145487	0.155314659	0.146808714	0.487529328
CHOL	BMI	(continuous)	0.962383013	0.878511013	1.054262326	0.409847561	41/20	4(8.89%)	0.395694158	0.409847561	0.407721028	0.270295125
CHOL	age_at_initial_pathologic_diagnosis	(continuous)	1.002721771	0.969475065	1.037108623	0.874461769	45/22	0(0%)	0.873713969	0.874461769	0.874450919	0.249194171
CHOL	BMI_category	Over (vs Normal)	0.544793428	0.197210204	1.504992506	0.241406777	12/7--20/9	NA	NA	NA	NA	0.099742139
CHOL	BMI_category	Obesity (vs Normal)	0.532726317	0.154683824	1.834692996	0.318228004	9/4--20/9	NA	NA	NA	NA	0.45426913
CHOL	BMI_category	Global	NA	NA	NA	NA	NA	4(8.89%)	0.461454853	0.436601912	0.42621321	0.25793719
CHOL	gender	MALE (vs FEMALE)	1.413676079	0.608426639	3.284668895	0.420920006	20/10--25/12	0(0%)	0.42441929	0.420920006	0.418662115	0.2679324
CHOL	pathologic_stage_v2	StageIII/IV (vs StageI/II)	0.759894528	0.294363101	1.961657872	0.570402549	14/6--31/16	0(0%)	0.563290437	0.570402549	0.569202831	0.874083479
CHOL	histological_grade_v2	G_3/4/High (vs G_1/2/Low)	0.717440597	0.306346437	1.68019258	0.444382864	22/11--23/11	0(0%)	0.445243658	0.444382864	0.442498929	0.528566378
CHOL	tumor_status	TUMOR_FREE (vs WITH_TUMOR)	0.054060829	0.007194237	0.406238125	0.00457711	19/1--22/18	4(8.89%)	1.48E-05	0.00457711	8.50E-05	0.080046443
CHOL	new_tumor_event_type	Yes (vs No)	2.956011807	1.153723582	7.573742911	0.023955059	21/16--24/6	0(0%)	0.01631208	0.023955059	0.017881764	0.086758478
CHOL	new_tumor_event_after_initial_treatment	YES (vs NO)	2.673532345	1.088226719	6.568277616	0.032006775	19/15--26/7	0(0%)	0.025419455	0.032006775	0.025697167	0.047271324
CHOL	perineural_invasion_present	YES (vs NO)	2.302875022	0.800508283	6.6248326	0.12180464	9/5--36/17	0(0%)	0.146019973	0.12180464	0.111618269	0.834493096
CHOL	Smoking	Yes (vs No)	1.424527121	0.586250723	3.46144992	0.434733286	14/8--31/14	0(0%)	0.441835572	0.434733286	0.432399643	0.323380912
