Index	Cancer	Signature	Type	HR	Low CI95	Up CI95	p-value	Number_Event	N/A_number	Likelihood_ratio_test	Wald_test	Score_test	zph	concordance
	BLCA	histologic_subtype	Papillary (vs Non-Papillary)	0.675275154	0.475653554	0.95867366	0.028090883	133/42--274/135	6(1.46%)	0.023281992	0.028090883	0.02710404	0.4663448	0.545559129
	BLCA	lymphovascular_invasion	YES (vs NO)	1.795298696	1.337272166	2.410203016	9.86E-05	153/82--259/99	1(0.24%)	0.000127476	9.86E-05	7.85E-05	0.631439169	0.573501319
	BLCA	extracapsular_extension	YES (vs NO)	1.419218641	0.997817973	2.01858616	0.051437575	73/41--339/140	1(0.24%)	0.059520561	0.051437575	0.050262454	0.161262337	0.518398072
	BRCA	AR	(continuous)	1.023020208	0.959475144	1.090773797	0.486681523	1094/151	3(0.27%)	0.481961922	0.486681523	0.486540948	0.00026884	0.464057115
	BRCA	AR	H (vs L)	1.056342717	0.766549983	1.455691032	0.737608449	548/77--546/74	3(0.27%)	0.737659655	0.737608449	0.737577523	0.034758939	0.471911928
	BRCA	ESR1	(continuous)	0.997951363	0.947665155	1.050905922	0.938035532	1094/151	3(0.27%)	0.938110726	0.938035532	0.938035198	0.015652377	0.536542959
	BRCA	ESR1	H (vs L)	1.157314359	0.840584455	1.593387216	0.370503434	548/74--546/77	3(0.27%)	0.370477368	0.370503434	0.370083136	0.291811125	0.492591396
	BRCA	ESR2	(continuous)	0.773668792	0.646918498	0.925253183	0.004939204	1094/151	3(0.27%)	0.004876224	0.004939204	0.005025271	0.66389921	0.573024372
	BRCA	ESR2	H (vs L)	0.642982904	0.463800969	0.891388854	0.008053777	552/91--542/60	3(0.27%)	0.007380136	0.008053777	0.00755965	0.972995933	0.556853151
	BRCA	PGR	(continuous)	0.961001736	0.917754416	1.006286999	0.090418237	1094/151	3(0.27%)	0.092446309	0.090418237	0.089768203	0.008770116	0.592488306
	BRCA	PGR	H (vs L)	0.750689021	0.544930438	1.034139344	0.07933317	548/79--546/72	3(0.27%)	0.079171601	0.07933317	0.078326619	0.004920516	0.581810069
	BRCA	age_at_initial_pathologic_diagnosis	(continuous)	1.032682833	1.020075616	1.045445864	2.87E-07	1096/151	1(0.09%)	3.14E-07	2.87E-07	2.24E-07	0.700603547	0.635736137
	BRCA	gender	MALE (vs FEMALE)	0.841827499	0.117528358	6.02980892	0.863909966	12/1--1085/150	1(0.09%)	0.860008259	0.863909966	0.863743446	0.671390281	0.498039939
	BRCA	ajcc_pathologic_tumor_stage	Stage_II (vs Stage_I)	1.573865767	0.910408832	2.720814389	0.104399094	621/65--183/16	NA	NA	NA	NA	0.305105006	NA
	BRCA	ajcc_pathologic_tumor_stage	Stage_III (vs Stage_I)	3.015843877	1.700465524	5.348720196	0.000159366	249/44--183/16	NA	NA	NA	NA	0.00253504	NA
	BRCA	ajcc_pathologic_tumor_stage	Stage_IV (vs Stage_I)	13.00744482	6.416348659	26.36914385	1.12E-12	20/15--183/16	NA	NA	NA	NA	0.037498356	NA
	BRCA	ajcc_pathologic_tumor_stage	Stage_X (vs Stage_I)	4.187727144	1.710457182	10.25284866	0.001719147	13/7--183/16	NA	NA	NA	NA	0.029026523	NA
	BRCA	ajcc_pathologic_tumor_stage	Global	NA	NA	NA	NA	NA	12(1.09%)	5.27E-11	1.65E-14	0	0.003008098	0.693722267
	BRCA	pathologic_stage_v2	StageIII/IV (vs StageI/II)	2.648561783	1.892892876	3.705904124	1.32E-08	269/59--804/81	NA	NA	NA	NA	0.000348274	NA
	BRCA	pathologic_stage_v2	Stage_X (vs StageI/II)	2.970724011	1.360707075	6.485746504	0.006273832	13/7--804/81	NA	NA	NA	NA	0.057566107	NA
	BRCA	pathologic_stage_v2	Global	NA	NA	NA	NA	NA	12(1.09%)	6.91E-08	2.06E-08	4.67E-09	0.000727299	0.663075745
	BRCA	histological_type	Infiltrating_Lobular_Carcinoma (vs Infiltrating_Ductal_Carcinoma)	0.846999027	0.538995165	1.331008881	0.471486397	203/23--784/106	NA	NA	NA	NA	0.930106602	NA
	BRCA	histological_type	Other_specify (vs Infiltrating_Ductal_Carcinoma)	1.276856495	0.661626936	2.464171906	0.466250004	46/10--784/106	NA	NA	NA	NA	0.354456178	NA
	BRCA	histological_type	Mixed_Histology_(please_specify) (vs Infiltrating_Ductal_Carcinoma)	1.02135518	0.448171526	2.327605262	0.959900604	30/6--784/106	NA	NA	NA	NA	0.503591711	NA
	BRCA	histological_type	Mucinous_Carcinoma (vs Infiltrating_Ductal_Carcinoma)	4.079650819	1.28149783	12.98757627	0.017323394	17/3--784/106	NA	NA	NA	NA	0.73133509	NA
	BRCA	histological_type	Metaplastic_Carcinoma (vs Infiltrating_Ductal_Carcinoma)	2.357963647	0.327483883	16.97791202	0.394408646	9/1--784/106	NA	NA	NA	NA	0.855862379	NA
	BRCA	histological_type	Medullary_Carcinoma (vs Infiltrating_Ductal_Carcinoma)	1.06538655	0.261399885	4.34219204	0.929596143	6/2--784/106	NA	NA	NA	NA	0.028798837	NA
	BRCA	histological_type	Infiltrating_Carcinoma_NOS (vs Infiltrating_Ductal_Carcinoma)	1.02E-05	0	Inf	0.995891408	1/0--784/106	NA	NA	NA	NA	0.99963864	NA
	BRCA	histological_type	Global	NA	NA	NA	NA	NA	2(0.18%)	0.576343614	0.361870655	0.266622358	0.488465838	0.521665564
	BRCA	menopause_status	Pre (vs Post)	0.456905363	0.275127304	0.758785143	0.002473551	229/18--705/91	NA	NA	NA	NA	0.29753229	NA
	BRCA	menopause_status	Peri (vs Post)	0.178340652	0.024840623	1.280378016	0.086488454	39/1--705/91	NA	NA	NA	NA	0.453827055	NA
	BRCA	menopause_status	Indeterminate (vs Post)	0.666856654	0.362137679	1.227979918	0.193363791	34/15--705/91	NA	NA	NA	NA	0.090190466	NA
	BRCA	menopause_status	Global	NA	NA	NA	NA	NA	91(8.3%)	0.001503579	0.005939323	0.003590033	0.171846257	0.585485987
	BRCA	tumor_status	WITH_TUMOR (vs TUMOR_FREE)	10.93158784	7.653983443	15.61273468	0	126/83--935/49	37(3.37%)	0	0	0	0.005554886	0.784288339
	BRCA	margin_status	Positive (vs Negative)	1.980990721	1.203619017	3.260437217	0.007166936	79/19--920/89	NA	NA	NA	NA	0.072833381	NA
	BRCA	margin_status	Close (vs Negative)	1.904431	0.830123676	4.369056731	0.128383008	31/6--920/89	NA	NA	NA	NA	0.830465037	NA
	BRCA	margin_status	Global	NA	NA	NA	NA	NA	68(6.2%)	0.021386025	0.012562802	0.010630557	0.200055842	0.534975922
	BRCA	new_tumor_event_type	Distant_Metastasis (vs No)	5.346471344	3.750043861	7.622512401	0	64/46--995/95	NA	NA	NA	NA	0.096301392	NA
	BRCA	new_tumor_event_type	New_Primary_Tumor (vs No)	0.678508678	0.246841166	1.865061787	0.452169253	19/4--995/95	NA	NA	NA	NA	0.143607824	NA
	BRCA	new_tumor_event_type	Locoregional_Disease (vs No)	1.939703064	0.780583566	4.820045081	0.153700228	10/5--995/95	NA	NA	NA	NA	0.683106538	NA
	BRCA	new_tumor_event_type	Locoregional_Recurrence (vs No)	0.785079322	0.109331685	5.637428356	0.809890699	9/1--995/95	NA	NA	NA	NA	0.663967276	NA
	BRCA	new_tumor_event_type	Global	NA	NA	NA	NA	NA	1(0.09%)	2.10E-14	0	0	0.345091237	0.63277683
	BRCA	new_tumor_event_dx_days_to	Yes (vs No)	3.14129467	2.250813841	4.384073007	1.70E-11	113/60--984/91	1(0.09%)	2.05E-10	1.70E-11	1.66E-12	0.012423888	0.626058817
	BRCA	number_of_lymphnodes_positive_by_he	Yes (vs None)	1.60419281	1.162222471	2.214235772	0.004050389	473/86--624/65	1(0.09%)	0.003821405	0.004050389	0.003720215	0.341239188	0.564927977
	BRCA	surgical_procedure_first	Other (vs Modified_Radical_Mastectomy)	0.707100474	0.470526108	1.062621332	0.095375553	272/39--322/58	NA	NA	NA	NA	0.14118208	NA
	BRCA	surgical_procedure_first	Lumpectomy (vs Modified_Radical_Mastectomy)	0.563738595	0.348626063	0.911581884	0.019413082	247/24--322/58	NA	NA	NA	NA	0.270853814	NA
	BRCA	surgical_procedure_first	Simple_Mastectomy (vs Modified_Radical_Mastectomy)	0.53877929	0.314963387	0.921640847	0.02395357	200/18--322/58	NA	NA	NA	NA	0.929807904	NA
	BRCA	surgical_procedure_first	Global	NA	NA	NA	NA	NA	57(5.2%)	0.037224118	0.036155576	0.033294975	0.380797047	0.572100802
	BRCA	micromet_detection_by_ihc	YES (vs NO)	0.409012645	0.240947997	0.694304773	0.000928624	263/18--467/66	367(33.45%)	0.000393749	0.000928624	0.000630666	0.969553268	0.603892076
	BRCA	er_status_by_ihc	Negative (vs Positive)	1.36109381	0.944332842	1.961783257	0.098355745	238/41--808/100	52(4.74%)	0.106114787	0.098355745	0.097069221	0.012015109	0.561508721
	BRCA	pr_status_by_ihc	Negative (vs Positive)	1.334549908	0.95237854	1.870079368	0.093637354	344/56--699/86	55(5.01%)	0.097517294	0.093637354	0.092518286	0.000921224	0.57960271
	BRCA	her2_status_by_ihc	Positive (vs Negative)	1.643131037	1.008597291	2.676865809	0.046114601	164/23--564/57	369(33.64%)	0.05461368	0.046114601	0.04396028	0.306722136	0.561043377
	CESC	AR	(continuous)	1.042854209	0.931958968	1.166945046	0.464463961	304/71	3(0.98%)	0.469940213	0.464463961	0.46415763	0.082047593	0.482044573
	CESC	AR	H (vs L)	1.063014386	0.667409977	1.693111617	0.796933898	152/35--152/36	3(0.98%)	0.796920878	0.796933898	0.796903073	0.085041665	0.48375891
	CESC	ESR1	(continuous)	0.982349547	0.878712233	1.09821008	0.754233582	304/71	3(0.98%)	0.754178296	0.754233582	0.754228206	0.33186833	0.52278264
	CESC	ESR1	H (vs L)	0.95803178	0.601420718	1.526094569	0.856770467	152/36--152/35	3(0.98%)	0.856761579	0.856770467	0.856759661	0.880536923	0.509519083
	CESC	ESR2	(continuous)	0.848583061	0.656332589	1.097146817	0.210340153	304/71	3(0.98%)	0.203720753	0.210340153	0.211476684	0.757433778	0.547054047
	CESC	ESR2	H (vs L)	0.727810791	0.455413945	1.163136423	0.184110242	153/38--151/33	3(0.98%)	0.183348254	0.184110242	0.182322078	0.859187584	0.539655328
	CESC	PGR	(continuous)	0.93312556	0.840930078	1.035428905	0.192223243	304/71	3(0.98%)	0.185266213	0.192223243	0.192218101	0.37199183	0.579761797
	CESC	PGR	H (vs L)	0.662776223	0.412477389	1.064960972	0.089157513	153/42--151/29	3(0.98%)	0.086265019	0.089157513	0.08694881	0.044148662	0.582649102
	CESC	BMI	(continuous)	0.952253852	0.910819291	0.995573334	0.03112883	262/52	45(14.66%)	0.024274343	0.03112883	0.031339748	0.753645291	0.598963372
	CESC	age_at_initial_pathologic_diagnosis	(continuous)	1.016860619	0.999272521	1.034758283	0.060351851	307/71	0(0%)	0.062968722	0.060351851	0.059697112	0.819235627	0.559015953
	CESC	BMI_category	Over (vs Normal)	0.480094338	0.23114355	0.997175017	0.049119877	75/10--99/26	NA	NA	NA	NA	0.239438102	NA
	CESC	BMI_category	Obesity (vs Normal)	0.645043368	0.345771064	1.203342298	0.168162133	88/16--99/26	NA	NA	NA	NA	0.874157851	NA
	CESC	BMI_category	Global	NA	NA	NA	NA	NA	45(14.66%)	0.100774287	0.10634332	0.098781926	0.425218679	0.565583967
	CESC	clinical_stage	Stage_II (vs Stage_I)	0.807604996	0.410257197	1.589797414	0.536336965	70/11--163/36	NA	NA	NA	NA	0.342514745	NA
	CESC	clinical_stage	Stage_III (vs Stage_I)	1.241052066	0.615433886	2.502641251	0.546189788	46/10--163/36	NA	NA	NA	NA	0.37775378	NA
	CESC	clinical_stage	Stage_IV (vs Stage_I)	4.447563211	2.393038074	8.265985707	2.37E-06	21/14--163/36	NA	NA	NA	NA	0.089690121	NA
	CESC	clinical_stage	Global	NA	NA	NA	NA	NA	7(2.28%)	0.000229696	9.90E-06	7.85E-07	0.345599972	0.615844203
	CESC	clinical_stage_v2	StageIII/IV (vs StageI/II)	2.259777538	1.380683119	3.698599957	0.001181893	67/24--233/47	7(2.28%)	0.002107401	0.001181893	0.000858929	0.114816273	0.604168567
	CESC	histological_grade	G2 (vs G1)	1.883739333	0.452234029	7.846543269	0.384363208	136/37--18/2	NA	NA	NA	NA	0.657060044	NA
	CESC	histological_grade	G3 (vs G1)	1.602603519	0.375909216	6.832335927	0.523809007	120/22--18/2	NA	NA	NA	NA	0.725666003	NA
	CESC	histological_grade	G4 (vs G1)	5.24E-07	0	Inf	0.995695801	1/0--18/2	NA	NA	NA	NA	0.99999651	NA
	CESC	histological_grade	GX (vs G1)	3.806203939	0.821988748	17.62455809	0.08739854	24/9--18/2	NA	NA	NA	NA	0.918068405	NA
	CESC	histological_grade	Global	NA	NA	NA	NA	NA	8(2.61%)	0.190699721	0.219869301	0.159032813	0.967716368	0.568287565
	CESC	histological_grade_v2	G_3/4/High (vs G_1/2/Low)	0.873063463	0.517060719	1.474178528	0.611527591	121/22--154/39	NA	NA	NA	NA	0.806380264	NA
	CESC	histological_grade_v2	GX (vs G_1/2/Low)	2.120846641	1.018786889	4.415045508	0.04446101	24/9--154/39	NA	NA	NA	NA	0.537576494	NA
	CESC	histological_grade_v2	Global	NA	NA	NA	NA	NA	8(2.61%)	0.113227216	0.074765751	0.064975955	0.823833513	0.556792263
	CESC	histological_type	Adenocarcinoma (vs Cervical_Squamous_Cell_Carcinoma)	0.947380322	0.483945659	1.854607967	0.874677152	47/10--254/60	NA	NA	NA	NA	0.695952208	NA
	CESC	histological_type	Adenosquamous (vs Cervical_Squamous_Cell_Carcinoma)	1.605381988	0.219323778	11.75089791	0.641155349	6/1--254/60	NA	NA	NA	NA	0.742227503	NA
	CESC	histological_type	Global	NA	NA	NA	NA	NA	0(0%)	0.895908698	0.882448871	0.880495584	0.883100031	0.510082452
	CESC	tumor_status	WITH_TUMOR (vs TUMOR_FREE)	21.72327464	11.35692009	41.55181661	0	80/53--200/14	27(8.79%)	0	0	0	0.78244473	0.812434393
	CESC	treatment_outcome_first_course_v2	Uncomplete_Remission/Response (vs Complete_Remission/Response)	13.61497811	7.305963304	25.37209965	2.22E-16	36/26--183/22	88(28.66%)	1.44E-15	2.22E-16	0	0.457046418	0.770143312
	CESC	new_tumor_event_type	Distant_Metastasis (vs No)	3.910426009	2.273636768	6.725538477	8.28E-07	31/20--260/40	NA	NA	NA	NA	0.17890766	NA
	CESC	new_tumor_event_type	Locoregional_Recurrence (vs No)	4.584600743	2.124946566	9.891337648	0.000103959	13/8--260/40	NA	NA	NA	NA	0.349026878	NA
	CESC	new_tumor_event_type	New_Primary_Tumor (vs No)	50.58409376	13.54208869	188.9479975	5.36E-09	3/3--260/40	NA	NA	NA	NA	0.639963887	NA
	CESC	new_tumor_event_type	Global	NA	NA	NA	NA	NA	0(0%)	3.82E-09	3.60E-12	0	0.523906638	0.641647249
	CESC	new_tumor_event_dx_days_to	Yes (vs No)	4.463667317	2.776890378	7.175049498	6.52E-10	48/32--259/39	0(0%)	5.54E-09	6.52E-10	1.42E-11	0.176672205	0.633984585
	CESC	number_of_lymphnodes_positive_by_he	Yes (vs No)	1.273486698	0.737278879	2.199667474	0.385960763	52/17--255/54	0(0%)	0.396107881	0.385960763	0.384819021	0.143040188	0.502106112
	CESC	performance_status_scale_timing	Pre-Adjuvant_Therapy (vs Preoperative)	1.877150114	0.933366233	3.7752518	0.077306911	52/18--96/14	NA	NA	NA	NA	0.496299495	NA
	CESC	performance_status_scale_timing	Post-Adjuvant_Therapy (vs Preoperative)	0.479206679	0.062676745	3.66386353	0.478449919	15/1--96/14	NA	NA	NA	NA	0.067358115	NA
	CESC	performance_status_scale_timing	Other (vs Preoperative)	4.624670058	1.318025361	16.2269815	0.016797184	9/3--96/14	NA	NA	NA	NA	0.053495764	NA
	CESC	performance_status_scale_timing	Global	NA	NA	NA	NA	NA	135(43.97%)	0.049581432	0.040920452	0.024395661	0.042761206	0.651416765
	CESC	lymphovascular_involvement	ABSENT (vs PRESENT)	0.100221998	0.023568989	0.42617224	0.001840257	72/2--80/23	155(50.49%)	2.63E-05	0.001840257	0.000124817	0.362972866	0.720306513
	CESC	corpus_involvement	PRESENT (vs ABSENT)	3.211246212	1.235186056	8.34862261	0.016699426	19/7--99/11	189(61.56%)	0.024581652	0.016699426	0.011478298	0.100027489	0.591002045
	CHOL	AR	(continuous)	0.978289495	0.800700369	1.195266511	0.829954272	36/18	9(20%)	0.829561413	0.829954272	0.829907471	0.2607616	0.472074468
	CHOL	AR	H (vs L)	0.729633364	0.282310998	1.885738958	0.515277356	18/11--18/7	9(20%)	0.511219581	0.515277356	0.51355809	0.176200545	0.503989362
	CHOL	ESR1	(continuous)	0.953361053	0.702996343	1.292890506	0.758628764	36/18	9(20%)	0.757181383	0.758628764	0.758505527	0.00816687	0.412234043
	CHOL	ESR1	H (vs L)	1.07711135	0.423585568	2.738924427	0.87603344	18/10--18/8	9(20%)	0.87621299	0.87603344	0.876005791	0.029197718	0.567819149
	CHOL	ESR2	(continuous)	0.921184988	0.66755677	1.271175458	0.617329033	36/18	9(20%)	0.613810398	0.617329033	0.617151794	0.754587759	0.496010638
	CHOL	ESR2	H (vs L)	1.298082115	0.497957314	3.383858672	0.593565354	18/9--18/9	9(20%)	0.593132686	0.593565354	0.592553897	0.394718942	0.555851064
	CHOL	PGR	(continuous)	0.898366461	0.628306852	1.284503416	0.556861955	36/18	9(20%)	0.557186554	0.556861955	0.556415362	0.424419151	0.533244681
	CHOL	PGR	H (vs L)	0.490884297	0.183972737	1.309799468	0.155314659	18/12--18/6	9(20%)	0.143145487	0.155314659	0.146808714	0.487529328	0.567819149
	CHOL	BMI	(continuous)	0.962383013	0.878511013	1.054262326	0.409847561	41/20	4(8.89%)	0.395694158	0.409847561	0.407721028	0.270295125	0.59832636
