Cancer	Characteristic	Type	Total	Percent	Events	
		MALE	12	1.09%	1	
	ajcc_pathologic_tumor_stage					
		Stage_II	621	56.61%	65	2
		Stage_III	249	22.70%	44	3
		Stage_I	183	16.68%	16	1
		Stage_IV	20	1.82%	15	4
		Stage_X	13	1.19%	7	5
	pathologic_stage_v2					
		StageI/II	804	73.29%	81	
		StageIII/IV	269	24.52%	59	
		Stage_X	13	1.19%	7	
	histological_type					
		Infiltrating_Ductal_Carcinoma	784	71.47%	106	
		Infiltrating_Lobular_Carcinoma	203	18.51%	23	
		Other_specify	46	4.19%	10	
		Mixed_Histology_(please_specify)	30	2.73%	6	
		Mucinous_Carcinoma	17	1.55%	3	
		Metaplastic_Carcinoma	9	0.82%	1	
		Medullary_Carcinoma	6	0.55%	2	
		Infiltrating_Carcinoma_NOS	1	0.09%	0	
	menopause_status					
		Post	705	64.27%	91	
		Pre	229	20.88%	18	
		Peri	39	3.56%	1	
		Indeterminate	34	3.10%	15	
	tumor_status					
		TUMOR_FREE	935	85.23%	49	
		WITH_TUMOR	126	11.49%	83	
	margin_status					
		Negative	920	83.87%	89	
		Positive	79	7.20%	19	
		Close	31	2.83%	6	
	new_tumor_event_type					
		No	995	90.70%	95	
		Distant_Metastasis	64	5.83%	46	
		New_Primary_Tumor	19	1.73%	4	
		Locoregional_Disease	10	0.91%	5	
		Locoregional_Recurrence	9	0.82%	1	
	new_tumor_event_dx_days_to					
		No	984	89.70%	91	
		Yes	113	10.30%	60	
	history_other_malignancy					
		No	1029	93.80%	142	
		Yes	68	6.20%	9	
	radiation_therapy					
		NO	1024	93.35%	142	
		YES	73	6.65%	9	
	postoperative_rx_tx					
		NO	970	88.42%	140	
		YES	127	11.58%	11	
	number_of_lymphnodes_positive_by_he					
		None	624	56.88%	65	
		Yes	473	43.12%	86	
	number_of_lymphnodes_positive_by_ihc					
		No	1036	94.44%	144	
		Yes	61	5.56%	7	
	surgical_procedure_first					
		Modified_Radical_Mastectomy	322	29.35%	58	
		Other	272	24.79%	39	
		Lumpectomy	247	22.52%	24	
		Simple_Mastectomy	200	18.23%	18	
	micromet_detection_by_ihc					
		NO	467	42.57%	66	
		YES	263	23.97%	18	
	er_status_by_ihc					
		Positive	808	73.66%	100	
		Negative	238	21.70%	41	
	pr_status_by_ihc					
		Positive	699	63.72%	86	
		Negative	344	31.36%	56	
	her2_status_by_ihc					
		Negative	564	51.41%	57	
		Positive	164	14.95%	23	
CESC			307		71	
	BMI	Median(Range)	26.676500165(13.41759003-70.492303)		52	
		Mean(SD)	28.0693572083206(¡À7.6706821184388)			
	pregnancies_count_total	Median(Range)	3(0-15)		64	
		Mean(SD)	3.61048689138577(¡À2.57189161003626)			
	tobacco_smoking_history	Median(Range)	1(1-5)		65	
		Mean(SD)	1.82889733840304(¡À1.14468633029485)			
	age_at_initial_pathologic_diagnosis	Median(Range)	46(20-88)		71	
		Mean(SD)	48.2736156351792(¡À13.7905689435361)			
	race					
		WHITE	211	68.73%	51	
		BLACK_OR_AFRICAN_AMERICAN	30	9.77%	8	
		ASIAN	20	6.51%	2	
		AMERICAN_INDIAN_OR_ALASKA_NATIVE	8	2.61%	2	
		NATIVE_HAWAIIAN_OR_OTHER_PACIFIC_ISLANDER	2	0.65%	1	
	tobacco_smoking_history_v2					
		Yes	263	85.67%	65	
		No	44	14.33%	6	
	BMI_category					
		Normal	99	32.25%	26	1
		Obesity	88	28.66%	16	3
		Over	75	24.43%	10	2
	clinical_stage					
		Stage_I	163	53.09%	36	
		Stage_II	70	22.80%	11	
		Stage_III	46	14.98%	10	
		Stage_IV	21	6.84%	14	
	clinical_stage_v2					
		StageI/II	233	75.90%	47	
		StageIII/IV	67	21.82%	24	
	histological_grade					
		G2	136	44.30%	37	2
		G3	120	39.09%	22	3
		GX	24	7.82%	9	5
		G1	18	5.86%	2	1
		G4	1	0.33%	0	4
	histological_grade_v2					
		G_1/2/Low	154	50.16%	39	
		G_3/4/High	121	39.41%	22	
		GX	24	7.82%	9	
	histological_type					
		Cervical_Squamous_Cell_Carcinoma	254	82.74%	60	
		Adenocarcinoma	47	15.31%	10	
		Adenosquamous	6	1.95%	1	
	menopause_status					
		Pre	125	40.72%	26	
		Post	84	27.36%	24	
		Peri	25	8.14%	4	
		Indeterminate	3	0.98%	1	
	tumor_status					
		TUMOR_FREE	200	65.15%	14	
		WITH_TUMOR	80	26.06%	53	
	treatment_outcome_first_course_v2					
		Complete_Remission/Response	183	59.61%	22	
		Uncomplete_Remission/Response	36	11.73%	26	
	new_tumor_event_type					
		No	260	84.69%	40	
		Distant_Metastasis	31	10.10%	20	
		Locoregional_Recurrence	13	4.23%	8	
		New_Primary_Tumor	3	0.98%	3	
	new_tumor_event_dx_days_to					
		No	259	74.36%	39	
		Yes	48	15.64%	32	
	other_dx					
		No	299	97.39%	69	
		Yes	8	2.61%	2	
	targeted_molecular_therapy					
		No	221	71.91%	47	
		YES	86	28.01%	24	
	number_of_lymphnodes_positive_by_he					
		No	255	83.06%	54	
		Yes	52	16.94%	17	
	performance_status_scale_timing					
		Preoperative	96	31.27%	14	
		Pre-Adjuvant_Therapy	52	16.94%	18	
		Post-Adjuvant_Therapy	15	4.89%	1	
		Other	9	2.93%	3	
	history_hormonal_contraceptives_use					
		Never_Used	90	29.32%	21	
		Former_User	54	17.59%	8	
		Current_User	15	4.89%	3	
	keratinization_squamous_cell					
		Non-keratinizing	120	39.09%	18	
		Keratinizing	55	17.92%	20	
	lymphovascular_involvement					
		PRESENT	80	26.06%	23	
		ABSENT	72	23.45%	2	
	corpus_involvement					
		ABSENT	99	32.25%	11	
		PRESENT	19	6.19%	7	
	radiation_treatment_adjuvant.1					
		NO	197	64.17%	39	
		YES	110	35.83%	32	
	pharmaceutical_tx_adjuvant.1					
		NO	218	71.01%	45	
		YES	89	28.99%	26	
CHOL			45		22	
	BMI	Median(Range)	26.27728508(18.20664543-41.13761323)		20	
		Mean(SD)	27.6195016331707(¡À5.03212589551381)			
	age_at_initial_pathologic_diagnosis	Median(Range)	66(29-82)		22	
		Mean(SD)	63.6444444444444(¡À12.1695513392228)			
	race					
		WHITE	38	84.44%	17	
		ASIAN	3	6.67%	2	
		BLACK_OR_AFRICAN_AMERICAN	3	6.67%	2	
	BMI_category					
		Over	20	44.44%	9	2
		Normal	12	26.67%	7	1
		Obesity	9	20%	4	3
	gender					
		FEMALE	25	55.56%	12	
		MALE	20	44.44%	10	
	ajcc_pathologic_tumor_stage					
		Stage_I	20	44.44%	9	1
		Stage_II	11	24.44%	7	2
		Stage_IV	10	22.22%	6	4
		Stage_III	4	8.89%	0	3
	pathologic_stage_v2					
		StageI/II	31	68.89%	16	
		StageIII/IV	14	31.11%	6	
	histological_grade_v2					
		G_1/2/Low	23	51.11%	11	
		G_3/4/High	22	48.89%	11	
	histological_type					
		intrahepatic	36	80%	17	
		hilar/perihilar	7	15.56%	5	
		distal	2	4.44%	0	
	tumor_status					
		WITH_TUMOR	22	48.89%	18	
		TUMOR_FREE	19	42.22%	1	
	new_tumor_event_type					
		No	24	53.33%	6	
		Yes	21	46.67%	16	
	other_dx					
		No	36	80%	18	
		Yes	9	20%	4	
	new_tumor_event_after_initial_treatment					
		NO	26	57.78%	7	
		YES	19	42.22%	15	
	postoperative_rx_tx					
		NO	33	73.33%	16	
		YES	12	26.67%	6	
	perineural_invasion_present					
		NO	36	80%	17	
		YES	9	20%	5	
	relative_family_cancer_history					
		YES	23	51.11%	10	
		NO	22	48.89%	12	
	family_history_cancer_number_relatives					
		No	24	53.33%	14	
		Yes	21	46.67%	8	
	Smoking					
		No	31	68.89%	14	
		Yes	14	31.11%	8	
	vascular_invasion					
		None	38	84.44%	18	
		Micro	7	15.56%	4	
	ca_19_9_level_lower					
		UP	22	48.89%	11	
		No	17	37.78%	8	
	ishak_fibrosis_score					
		0-No_Fibrosis	20	44.44%	13	
		1/2-Portal_Fibrosis	11	24.44%	2	
		3/4-Fibrous_Speta	3	6.67%	1	
		6-Established_Cirrhosis	1	2.22%	0	
COAD			459		102	
	BMI	Median(Range)	27.10204082(14.71606648-271.863451)		47	
		Mean(SD)	29.4185017050215(¡À17.1524466473362)			
	cea_level_pretreatment	Median(Range)	3(0-2614)		52	
		Mean(SD)	37.3180902777778(¡À197.869095195845)			
	age_at_initial_pathologic_diagnosis	Median(Range)	68(31-90)		102	
		Mean(SD)	66.9193899782135(¡À13.079536454434)			
	race					
		WHITE	214	46.62%	56	
		BLACK_OR_AFRICAN_AMERICAN	59	12.85%	13	
		ASIAN	11	2.40%	2	
		AMERICAN_INDIAN_OR_ALASKA_NATIVE	1	0.22%	0	
	gender					
		MALE	243	52.94%	56	
		FEMALE	216	47.06%	46	
	BMI_category					
		Over	81	17.65%	19	2
		Normal	78	16.99%	23	1
		Obesity	74	16.12%	5	3
	ajcc_pathologic_tumor_stage					
		Stage_II	178	38.78%	29	2
		Stage_III	129	28.10%	32	3
		Stage_I	76	16.56%	5	1
		Stage_IV	65	14.16%	31	4
	pathologic_stage_v2					
		StageI/II	254	55.34%	34	
		StageIII/IV	194	42.27%	63	
	histological_type					
		Colon_Adenocarcinoma	392	85.40%	82	
		Colon_Mucinous_Adenocarcinoma	62	13.51%	17	
	tumor_status					
		TUMOR_FREE	285	62.09%	22	
		WITH_TUMOR	145	31.59%	64	
	treatment_outcome_first_course_v2					
		Complete_Remission/Response	197	42.92%	17	
		Uncomplete_Remission/Response	41	8.93%	20	
	residual_tumor					
		R0	331	72.11%	50	1
		R2	26	5.66%	12	3
		RX	25	5.45%	5	4
		R1	4	0.87%	2	2
	new_tumor_event_dx_days_to					
		No	371	80.83%	62	
		Yes	88	19.17%	40	
	other_dx					
		No	397	86.49%	85	
		Yes	62	13.51%	17	
	number_of_lymphnodes_positive_by_he					
		No	277	60.35%	42	
		Yes	182	39.65%	60	
	kras_gene_analysis_performed					
		NO	411	89.54%	77	
		YES	48	10.46%	25	
	perineural_invasion_present					
		NO	413	89.98%	89	
		YES	46	10.02%	13	
	specimen_non_node_tumor_deposits					
		NO	420	91.50%	92	
		YES	39	8.50%	10	
	vascular_invasion_indicator					
		NO	363	79.08%	67	
		YES	96	20.92%	35	
	lymphovascular_invasion_indicator					
		NO	295	64.27%	54	
		YES	164	35.73%	48	
	mismatch_rep_proteins_tested_by_ihc					
		NO	287	62.53%	53	
		YES	56	12.20%	2	
	history_other_maligNOncy.1					
		NO	434	94.55%	97	
		YES	25	5.45%	5	
	history_colon_polyps					
		NO	320	69.72%	82	
		YES	139	30.28%	20	
	colon_polyps_at_procurement_indicator					
		NO	379	82.57%	80	
		YES	80	17.43%	22	
	family_history_colorectal_cancer					
		No	401	87.36%	94	
		Yes	58	12.64%	8	
DLBC			48		9	
	BMI	Median(Range)	24.47083833(16.44950583-46.02942188)		9	
		Mean(SD)	25.908067904375(¡À5.86933057219807)			
	eastern_cancer_oncology_group	Median(Range)	0(0-3)		4	
		Mean(SD)	0.612903225806452(¡À0.760588340468031)			
	extranodal_site_involvement	Median(Range)	1(0-6)		7	
		Mean(SD)	1.24324324324324(¡À1.36229800552444)			
	tumor_resected_max_dimension	Median(Range)	3(0.4-17)		5	
		Mean(SD)	4.60052631578947(¡À3.97421550808385)			
	age_at_initial_pathologic_diagnosis	Median(Range)	57.5(23-82)		9	
		Mean(SD)	56.2708333333333(¡À13.9478353133767)			
	race					
		WHITE	29	60.42%	4	
		ASIAN	18	37.50%	4	
		BLACK_OR_AFRICAN_AMERICAN	1	2.08%	1	
	extranodal_site_involvement_v2					
		NO	24	50%	5	
		Yes	24	50%	4	
	gender					
		FEMALE	26	54.17%	4	
		MALE	22	45.83%	5	
	BMI_category					
		Normal	25	52.08%	5	
		Over	15	31.25%	3	
		Obesity	8	16.67%	1	
	clinical_stage_v2					
		StageI/II	25	52.08%	3	
		StageIII/IV	17	35.42%	4	
	tumor_status					
		TUMOR_FREE	37	77.08%	5	
		WITH_TUMOR	9	18.75%	4	
	treatment_outcome_first_course_v2					
		Complete_Remission/Response	35	72.92%	5	
		Uncomplete_Remission/Response	11	22.92%	4	
	new_tumor_event_dx_days_to					
		No	36	75%	4	
		Yes	12	25%	5	
	targeted_molecular_therapy					
		NO	26	54.17%	6	
		YES	22	45.83%	3	
	ldh_up					
		UP	17	35.42%	3	
		FALSE	13	27.08%	2	
	extranodal_lymphomatous_involvement					
		NO	27	56.25%	5	
		YES	21	43.75%	4	
ESCA			185		77	
	BMI	Median(Range)	24.25867407(13.39895385-60.23532349)		70	
		Mean(SD)	25.3103725606857(¡À5.88653308923967)			
	eastern_cancer_oncology_group	Median(Range)	1(0-3)		23	
		Mean(SD)	1.03076923076923(¡À0.728209078176358)			
	karnofsky_performance_score	Median(Range)	80(20-100)		19	
		Mean(SD)	73.8235294117647(¡À16.2103165754631)			
	tobacco_smoking_history	Median(Range)	2(1-4)		61	
		Mean(SD)	2.32530120481928(¡À1.16106986958544)			
	age_at_initial_pathologic_diagnosis	Median(Range)	61(27-90)		77	
		Mean(SD)	62.4540540540541(¡À11.8935174751562)			
	BMI_category					
		Normal	97	52.43%	35	
		Over	49	26.49%	19	
		Obesity	29	15.68%	16	
	race					
		WHITE	114	61.62%	48	
		ASIAN	46	24.86%	9	
		BLACK_OR_AFRICAN_AMERICAN	5	2.70%	3	
	tobacco_smoking_history_v2					
		Yes	166	89.73%	61	
		No	19	10.27%	16	
	gender					
		MALE	158	85.41%	71	
		FEMALE	27	14.59%	6	
	ajcc_pathologic_tumor_stage					
		Stage_II	79	42.70%	25	2
		Stage_III	56	30.27%	27	3
		Stage_I	18	9.73%	4	1
		Stage_IV	9	4.86%	8	4
	pathologic_stage_v2					
		StageI/II	97	52.43%	29	
		StageIII/IV	65	35.14%	35	
	clinical_stage_v2					
		StageI/II	33	17.84%	10	
		StageIII/IV	31	16.76%	15	
	histological_grade					
		G2	77	41.62%	30	2
		G3	49	26.49%	26	3
		GX	40	21.62%	17	4
		G1	19	10.27%	4	1
	histological_grade_v2					
		G_1/2/Low	96	51.89%	34	
		G_3/4/High	49	26.49%	26	
		GX	40	21.62%	17	
	histological_type					
		Esophagus_Squamous_Cell_Carcinoma	96	51.89%	32	
		Esophagus_Adenocarcinoma_NOS	89	48.11%	45	
	tumor_status					
		TUMOR_FREE	100	54.05%	24	
		WITH_TUMOR	78	42.16%	51	
	treatment_outcome_first_course_v2					
		Complete_Remission/Response	91	49.19%	20	
		Uncomplete_Remission/Response	19	10.27%	9	
	new_tumor_event_type					
		NO	114	61.62%	42	
		Distant_Metastasis	36	19.46%	23	
		Locoregional_Recurrence	33	17.84%	12	
		New_Primary_Tumor	2	1.08%	0	
	new_tumor_event_dx_days_to					
		NO	114	61.62%	42	
		Yes	71	38.38%	35	
	radiation_therapy					
		NO	167	90.27%	67	
		YES	18	9.73%	10	
	postoperative_rx_tx					
		NO	169	91.35%	67	
		YES	16	8.65%	10	
	number_of_lymphnodes_positive_by_he					
		NO	95	51.35%	30	
		Yes	90	48.65%	47	
	tobacco_smoking_age_started					
		NO	106	57.30%	44	
		Yes	79	42.70%	33	
	alcohol_history_documented					
		YES	129	69.73%	50	
		NO	53	28.65%	27	
	history_reflux_disease_indicator					
		NO	128	69.19%	50	
		YES	57	30.81%	27	
	history_barretts_esophageal_indicator					
		No	118	63.78%	49	
		Yes	28	15.14%	18	
	esophageal_tumor_location_centered					
		Distal	128	69.19%	61	
		Mid	50	27.03%	16	
		Proximal	6	3.24%	0	
	esoph_columnar_metaplasia_indicator					
		NO	78	42.16%	37	
		YES	32	17.30%	20	
	esoph_non_ca_degree_of_dysplasia					
		Negative/no_dysplasia	42	22.70%	18	1
		High_grade_dysplasia	30	16.22%	18	3
		Low_grade_dysplasia	6	3.24%	5	2
	patient_to_undergo_surgery					
		No	128	69.19%	56	
		Yes	57	30.81%	21	
GBM			596		491	
	karnofsky_performance_score	Median(Range)	80(0-100)		359	
		Mean(SD)	77.1070615034169(¡À15.4554868350691)			
	age_at_initial_pathologic_diagnosis	Median(Range)	59(10-89)		491	
		Mean(SD)	57.8288590604027(¡À14.4071961258488)			
	race					
		WHITE	507	85.07%	431	
		BLACK_OR_AFRICAN_AMERICAN	51	8.56%	33	
		ASIAN	13	2.18%	7	
	gender					
		MALE	366	61.41%	307	
		FEMALE	230	38.59%	184	
	histological_type					
		Untreated_primary_(de_novo)_GBM	545	91.44%	450	
		Glioblastoma_Multiforme_(GBM)	31	5.20%	22	
		Treated_primary_GBM	20	3.36%	19	
	tumor_status					
		WITH_TUMOR	514	86.24%	445	
		TUMOR_FREE	27	4.53%	7	
	new_tumor_event_type					
		Progression_of_Disease	256	42.95%	227	2
		No	230	38.59%	166	1
		Recurrence	107	17.95%	95	3
		Locoregional_Disease	3	0.50%	3	4
	new_tumor_event_dx_days_to					
		Yes	381	63.93%	331	
		No	215	36.07%	160	
	history_of_neoadjuvant_treatment					
		No	575	96.48%	471	
		Yes	21	3.52%	20	
	performance_status_scale_timing					
		Pre-Adjuvant_Therapy	135	22.65%	107	
		Preoperative	132	22.15%	112	
		Post-Adjuvant_Therapy	76	12.75%	52	
		Other	27	4.53%	25	
HNSC			528		223	
	tobacco_smoking_history	Median(Range)	2(1-5)		214	
		Mean(SD)	2.46019417475728(¡À1.13652996059403)			
	age_at_initial_pathologic_diagnosis	Median(Range)	61(19-90)		223	
		Mean(SD)	60.9127134724858(¡À11.9265802788471)			
	race					
		WHITE	452	85.61%	189	
		BLACK_OR_AFRICAN_AMERICAN	48	9.09%	23	
		ASIAN	11	2.08%	4	
		AMERICAN_INDIAN_OR_ALASKA_NATIVE	2	0.38%	1	
	tobacco_smoking_history_v2					
		Yes	515	97.54%	214	
		No	13	2.46%	9	
	gender					
		MALE	386	73.11%	151	
		FEMALE	142	26.89%	72	
	ajcc_pathologic_tumor_stage					
		Stage_IV	270	51.14%	133	4
		Stage_III	82	15.53%	29	3
		Stage_II	74	14.02%	26	2
		Stage_I	27	5.11%	4	1
	pathologic_stage_v2					
		StageIII/IV	352	66.67%	162	2
		StageI/II	101	19.13%	30	1
	clinical_stage					
		Stage_IV	287	54.36%	128	4
		Stage_III	107	20.27%	44	3
		Stage_II	99	18.75%	42	2
		Stage_I	21	3.98%	7	1
	clinical_stage_v2					
		StageIII/IV	394	74.62%	172	2
		StageI/II	120	22.73%	49	1
	histological_grade					
		G2	311	58.90%	136	2
		G3	125	23.67%	56	3
		G1	63	11.93%	23	1
		GX	18	3.41%	7	5
		G4	7	1.33%	0	4
	histological_grade_v2					
		G_1/2/Low	374	70.83%	159	
		G_3/4/High	132	25%	56	
		GX	18	3.41%	7	
	laterality					
		Right	168	31.82%	52	
		Left	146	27.65%	56	
		Midline	34	6.44%	13	
	tumor_status					
		TUMOR_FREE	335	63.45%	67	
		WITH_TUMOR	163	30.87%	130	
	treatment_outcome_first_course_v2					
		Complete_Remission/Response	386	73.11%	121	
		Uncomplete_Remission/Response	55	10.42%	38	
	margin_status					
		Negative	357	67.61%	148	
		Positive	60	11.36%	38	
		Close	50	9.47%	20	
	new_tumor_event_after_initial_treatment					
		NO	150	28.41%	36	
		YES	49	9.28%	31	
	new_tumor_event_type					
		No	458	86.74%	188	
		Locoregional_Recurrence	29	5.49%	18	
		Distant_Metastasis	20	3.79%	12	
		Locoregional_Disease	11	2.08%	3	
		New_Primary_Tumor	10	1.89%	2	
	new_tumor_event_dx_days_to					
		No	383	72.54%	130	
		Yes	145	27.46%	93	
	other_dx					
		No	495	93.75%	211	
		Yes	33	6.25%	12	
	history_of_neoadjuvant_treatment					
		No	518	98.11%	213	
		Yes	10	1.89%	10	
	radiation_therapy					
		NO	402	76.14%	177	
		YES	126	23.86%	46	
	postoperative_rx_tx					
		NO	462	87.50%	195	
		YES	66	12.50%	28	
	number_of_lymphnodes_positive_by_he					
		No	287	54.36%	105	
		Yes	241	45.64%	118	
	perineural_invasion_present					
		NO	356	67.42%	129	
		YES	172	32.58%	94	
	extracapsular_spread_pathologic					
		No_Extranodal_Extension	248	46.97%	82	
		Microscopic_Extension	77	14.58%	47	
		Gross_Extension	38	7.20%	24	
	lymphovascular_invasion					
		NO	232	43.94%	78	
		YES	124	23.48%	63	
	hpv_status_p16					
		Negative	74	14.02%	24	
		Positive	41	7.77%	6	
	hpv_status_ish					
		Negative	67	12.69%	22	
		Positive	22	4.17%	1	
	alcohol_history_documented					
		YES	352	66.67%	142	
		NO	176	33.33%	81	
KICH			113		13	
	tobacco_smoking_history	Median(Range)	1(1-5)		12	
		Mean(SD)	1.51(¡À1.01000050004988)			
	age_at_initial_pathologic_diagnosis	Median(Range)	50(17-86)		13	
		Mean(SD)	51.2035398230088(¡À13.8623071235039)			
	race					
		WHITE	95	84.07%	12	
		BLACK_OR_AFRICAN_AMERICAN	12	10.62%	0	
		ASIAN	4	3.54%	1	
	tobacco_smoking_history_v2					
		Yes	100	88.50%	12	
		No	13	11.50%	1	
	gender					
		MALE	62	54.87%	8	
		FEMALE	51	45.13%	5	
	ajcc_pathologic_tumor_stage					
		Stage_I	54	47.79%	3	
		Stage_II	33	29.20%	2	
		Stage_III	19	16.81%	4	
		Stage_IV	7	6.19%	4	
	pathologic_stage_v2					
		StageI/II	87	76.99%	5	
		StageIII/IV	26	23.01%	8	
	laterality					
		Left	57	50.44%	8	
		Right	56	49.56%	5	
	tumor_status					
		TUMOR_FREE	96	84.96%	3	
		WITH_TUMOR	16	14.16%	10	
	treatment_outcome_first_course_v2					
		Complete_Remission/Response	72	63.72%	1	
		Uncomplete_Remission/Response	8	7.08%	4	
	serum_calcium_level					
		Low	37	32.74%	8	
		Normal	35	30.97%	1	
		Elevated	3	2.65%	0	
	hemoglobin_level					
		Normal	38	33.63%	3	
		Low	33	29.20%	6	
	white_cell_count					
		Normal	39	34.51%	4	
		Elevated	31	27.43%	5	
		Low	1	0.88%	0	
KIRC			537		177	
	age_at_initial_pathologic_diagnosis	Median(Range)	61(26-90)		177	
		Mean(SD)	60.5940409683426(¡À12.1527514336781)			
	race					
		WHITE	466	86.78%	163	
		BLACK_OR_AFRICAN_AMERICAN	56	10.43%	11	
		ASIAN	8	1.49%	1	
	tobacco_smoking_history_v2					
		No	450	83.80%	164	
		Yes	87	16.20%	13	
	gender					
		MALE	346	64.43%	112	
