|57714
PHC3|80012
PHF20|51230
PHF3|23469
PHIP|55023
PHKG2|5261
PHLDB1|23187
PHLDB2|90102
PHPT1|29085
PIAS1|8554
PICALM|8301
PICK1|9463
PIGU|128869
PIH1D1|55011
PIK3C2A|5286
PIK3CA|5290
PIK3CG|5294
PIK3R1|5295
PIK3R4|30849
PIK3R5|23533
PIKFYVE|200576
PIN1|5300
PIP4K2A|5305
PJA2|9867
PKD2|5311
PLAGL1|5325
PLBD2|196463
PLCL1|5334
PLDN|26258
PLEK|5341
PLEKHG1|57480
PLEKHJ1|55111
PLEKHM3|389072
PLN|5350
PLSCR4|57088
PLXDC1|57125
PLXDC2|84898
PLXNA4|91584
PLXNC1|10154
PMF1|11243
PMPCA|23203
PMVK|10654
PNKP|11284
PODN|127435
POLD2|5425
POLK|51426
POLL|27343
POLR2A|5430
POLR2E|5434
POLR2H|5437
POLR2I|5438
POLR2J|5439
POLR2L|5441
POLRMT|5442
POP5|51367
POP7|10248
PPAN|56342
PPAP2B|8613
PPCDC|60490
PPDPF|79144
PPFIA1|8500
PPFIA2|8499
PPFIBP1|8496
PPIA|5478
PPIE|10450
PPIP5K2|23262
PPOX|5498
PPP1R12A|4659
PPP1R16A|84988
PPP1R2P3|153743
PPP2R3A|5523
PPP2R3B|28227
PPP2R5E|5529
PPP4C|5531
PPP4R2|151987
PPTC7|160760
PQBP1|10084
PRDM10|56980
PRDM1|639
PRDM2|7799
PRDM5|11107
PRDM6|93166
PRDX5|25824
PRELID1|27166
PRELP|5549
PREX1|57580
PREX2|80243
PRICKLE1|144165
PRICKLE2|166336
PRKAR2A|5576
PRKCH|5583
PRKCSH|5589
PRKD1|5587
PRKD3|23683
PRKG1|5592
PRKRIP1|79706
PRMT1|3276
PRMT7|54496
PROS1|5627
PRPF31|26121
PRPF4B|8899
PRPF6|24148
PRR16|51334
PRR7|80758
PRRC1|133619
PRRG3|79057
PRSS23|11098
PRTG|283659
PSD3|23362
PSMA7|5688
PSMB3|5691
PSMB4|5692
PSMB6|5694
PSMB7|5695
PSMC1|5700
PSMD13|5719
PSMD3|5709
PSMD4|5710
PSMD9|5715
PSMG3|84262
PSMG4|389362
PTAFR|5724
PTAR1|375743
PTCH1|5727
PTEN|5728
PTENP1|11191
PTGER3|5733
PTGES2|80142
PTGFR|5737
PTGS1|5742
PTOV1|53635
PTPLAD2|401494
PTPLB|201562
PTPN11|5781
PTPN14|5784
PTPN21|11099
PTPN22|26191
PTPN9|5780
PTPRB|5787
PTPRC|5788
PTPRG|5793
PTPRO|5800
PTRH1|138428
PUF60|22827
PUM1|9698
PURA|5813
PUS1|80324
PUSL1|126789
PVRL3|25945
PWWP2B|170394
PXDN|7837
PXK|54899
PYCRL|65263
PYGO1|26108
QKI|9444
QPCTL|54814
QSER1|79832
QTRT1|81890
RAB11FIP2|22841
RAB23|51715
RAB24|53917
RAB30|27314
RAB31|11031
RAB33B|83452
RAB3GAP1|22930
RAB8B|51762
RABAC1|10567
RABEP2|79874
RABGGTA|5875
RAD23A|5886
RAD54L2|23132
RAE1|8480
RAG1|5896
RAI14|26064
RALGAPA2|57186
RALY|22913
RANBP1|5902
RANBP9|10048
RANGAP1|5905
RAPGEF2|9693
RAPGEF5|9771
RAPGEF6|51735
RARB|5915
RASA2|5922
RASAL2|9462
RASGRF2|5924
RASGRP3|25780
RASGRP4|115727
RASSF2|9770
RASSF3|283349
RASSF7|8045
RASSF8|11228
RAVER1|125950
RB1CC1|9821
RBBP5|5929
RBCK1|10616
RBL1|5933
RBL2|5934
RBM10|8241
RBM16|22828
RBM42|79171
RBM43|375287
RBM9|23543
RBMS1|5937
RBMS3|27303
RBMXL1|494115
RC3H2|54542
RCBTB2|1102
RCSD1|92241
RDBP|7936
RDX|5962
RECK|8434
RECQL4|9401
RECQL|5965
REEP4|80346
REL|5966
RERG|85004
REST|5978
REV3L|5980
RFTN1|23180
RFTN2|130132
RFX7|64864
RFXANK|8625
RGL1|23179
RGPD3|653489
RGS18|64407
RGS7BP|401190
RHBDD1|84236
RHBDD2|57414
RHBDL1|9028
RHOBTB1|9886
RHOJ|57381
RHOQ|23433
RHOT2|89941
RHPN1|114822
RIF1|55183
RNASEH2A|10535
RNF111|54778
RNF11|26994
RNF113A|7737
RNF115|27246
RNF126|55658
RNF13|11342
RNF144A|9781
RNF150|57484
RNF152|220441
RNF160|26046
RNF168|165918
RNF169|254225
RNF180|285671
RNF187|149603
RNF217|154214
RNF38|152006
RNPS1|10921
ROBLD3|28956
ROBO1|6091
ROCK1|6093
ROCK2|9475
ROMO1|140823
ROR1|4919
RORA|6095
RORB|6096
RP2|6102
RP9|6100
RP9P|441212
RPA3|6119
RPL13|6137
RPL18|6141
RPL19|6143
RPL23A|6147
RPL23AP53|644128
RPL27A|6157
RPL28|6158
RPL35|11224
RPL36|25873
RPL38|6169
RPL8|6132
RPLP0|6175
RPLP1|6176
RPLP2|6181
RPP21|79897
RPS15|6209
RPS19|6223
RPS19BP1|91582
RPS21|6227
RPS6KA2|6196
RPS6KA3|6197
RPS6KA5|9252
RPS6KB2|6199
RPUSD1|113000
RPUSD3|285367
RRAGC|64121
RRP12|23223
RRP1|8568
RSBN1|54665
RSC1A1|6248
RSF1|51773
RSPRY1|89970
RSU1|6251
RTF1|23168
RUFY2|55680
RUNDC2A|84127
RUNX1T1|862
RUVBL2|10856
S1PR1|1901
S1PR3|1903
SAC3D1|29901
SACS|26278
SAMD10|140700
SAMD8|142891
SAMHD1|25939
SAMSN1|64092
SART1|9092
SASH1|23328
SATB1|6304
SBF2|81846
SBNO1|55206
SCAF1|58506
SCAND1|51282
SCAPER|49855
SCARA3|51435
SCN2B|6327
SCN4B|6330
SCN7A|6332
SCO2|9997
SCRN2|90507
SCUBE2|57758
SCYL2|55681
SDHAF1|644096
SDPR|8436
SEC23A|10484
SEC24A|10802
SEC24B|10427
SEC31A|22872
SEC61G|23480
SECISBP2L|9728
SEL1L|6400
SELO|83642
SEMA3C|10512
SEMA3D|223117
SEMA5A|9037
SEMA6D|80031
SENP7|57337
SEPN1|57190
SEPT10|151011
SEPT11|55752
SEPT2|4735
SEPT8|23176
SERGEF|26297
SERINC1|57515
SERINC5|256987
SERPINF1|5176
SERPING1|710
SESN3|143686
SETBP1|26040
SETD2|29072
SETD7|80854
SETX|23064
SF3A2|8175
SF3B5|83443
SF4|57794
SFI1|9814
SFMBT2|57713
SFRP4|6424
SFRS2IP|9169
SFRS9|8683
SFXN4|119559
SGCD|6444
SGK196|84197
SGK269|79834
SGMS1|259230
SGMS2|166929
SGPP1|81537
SGTA|6449
SGTB|54557
SH2B3|10019
SH3BGRL|6451
SH3BP5|9467
SH3D19|152503
SH3GLB2|56904
SH3PXD2A|9644
SH3PXD2B|285590
SHARPIN|81858
SHE|126669
SHFM1|7979
SHISA6|388336
SHOC2|8036
SHPRH|257218
SHROOM4|57477
SIGIRR|59307
SIGLEC5|8778
SIGLEC6|946
SIGLEC8|27181
SIGLEC9|27180
SIGLECP3|284367
SIRPA|140885
SIRPB1|10326
SIRPB2|284759
SIRT1|23411
SIRT3|23410
SIRT6|51548
SIRT7|51547
SIVA1|10572
SKI|6497
SKIL|6498
SLA|6503
SLAIN2|57606
SLAMF8|56833
SLC12A6|9990
SLC12A9|56996
SLC16A14|151473
SLC16A2|6567
SLC16A6|9120
SLC16A7|9194
SLC18A2|6571
SLC1A3|6507
SLC25A1|6576
SLC25A29|123096
SLC25A30|253512
SLC25A39|51629
SLC25A40|55972
SLC25A46|91137
SLC26A2|1836
SLC2A9|56606
SLC30A4|7782
SLC30A6|55676
SLC31A2|1318
SLC35A5|55032
SLC35B1|10237
SLC35C2|51006
SLC36A1|206358
SLC38A7|55238
SLC39A3|29985
SLC41A2|84102
SLC46A3|283537
SLC47A1|55244
SLC4A7|9497
SLC6A6|6533
SLC8A1|6546
SLC9A9|285195
SLCO2B1|11309
SLFN11|91607
SLFN12|55106
SLFN5|162394
SLIT2|9353
SLIT3|6586
SLITRK3|22865
SLITRK5|26050
SMAD1|4086
SMAD9|4093
SMARCAD1|56916
SMC3|9126
SMG1|23049
SMO|6608
SMPD2|6610
SMUG1|23583
SMURF2|64750
SNED1|25992
SNF8|11267
SNHG11|128439
SNHG6|641638
SNHG8|100093630
SNORD116-20|100033431
SNORD116-28|100033820
SNORD116-4|100033416
SNRK|54861
SNRNP25|79622
SNRNP35|11066
SNRNP70|6625
SNRPA|6626
SNRPB|6628
SNRPC|6631
SNRPD2|6633
SNRPE|6635
SNRPF|6636
SNRPG|6637
SNTB2|6645
SNX16|64089
SNX18|112574
SNX19|399979
SNX20|124460
SNX30|401548
SNX9|51429
SOAT1|6646
SOCS5|9655
SOCS7|30837
SON|6651
SORBS1|10580
SOS1|6654
SOS2|6655
SOX5|6660
SOX6|55553
SP3|6670
SPAG9|9043
SPARC|6678
SPARCL1|8404
SPATA13|221178
SPATA2L|124044
SPATA6|54558
SPEN|23013
SPG20|23111
SPIN1|10927
SPN|6693
SPOCK1|6695
SPON1|10418
SPPL2B|56928
SPRED1|161742
SPRY1|10252
SPSB1|80176
SPSB2|84727
SPTY2D1|144108
SRA1|10011
SRFBP1|153443
SRGN|5552
SRPX|8406
SRRT|51593
SSC5D|284297
SSH1|54434
SSNA1|8636
SSPN|8082
SSSCA1|10534
ST20|400410
ST6GAL2|84620
ST8SIA4|7903
STAG1|10274
STAM2|10254
STARD10|10809
STARD13|90627
STARD8|9754
STAT3|6774
STK11|6794
STK16|8576
STON1|11037
STOX2|56977
STRA13|201254
STRN3|29966
STRN|6801
STT3B|201595
STUB1|10273
STX11|8676
STX12|23673
STXBP4|252983
STXBP5|134957
SULF1|23213
SULT1C4|27233
SURF2|6835
SURF6|6838
SUV420H2|84787
SVEP1|79987
SVIL|6840
SWAP70|23075
SYNE1|23345
SYNE2|23224
SYNJ1|8867
SYNJ2|8871
SYNPO2|171024
SYPL2|284612
SYTL1|84958
TAB2|23118
TAB3|257397
TACC1|6867
TAF10|6881
TAF1|6872
TAF1L|138474
TAF3|83860
TAGAP|117289
TANC1|85461
TAOK1|57551
TARBP2|6895
TAZ|6901
TBC1D12|23232
TBC1D23|55773
TBC1D2B|23102
TBC1D4|9882
TBC1D5|9779
TBC1D9|23158
TBCEL|219899
TBCK|93627
TBL3|10607
TBRG4|9238
TCEB2|6923
TCF12|6938
TCF21|6943
TCF4|6925
TCP11L1|55346
TCP11L2|255394
TEAD1|7003
TECR|9524
TECTA|7007
TEK|7010
TELO2|9894
TET1|80312
TET2|54790
TEX264|51368
TFEC|22797
TFPT|29844
TGFB3|7043
TGFBR2|7048
TGFBRAP1|9392
THAP4|51078
THAP7|80764
THBS1|7057
THBS2|7058
THEMIS|387357
THOC4|10189
THOC6|79228
THOP1|7064
THRAP3|9967
THSD4|79875
THSD7A|221981
THSD7B|80731
THUMPD1|55623
TIAF1|9220
TIGD5|84948
TIMM13|26517
TIMM16|51025
TIMM17B|10245
TIMM44|10469
TIMP2|7077
TIMP3|7078
TJP1|7082
TLCD1|116238
TLL1|7092
TLR1|7096
TLR3|7098
TLR4|7099
TLR6|10333
TLR7|51284
TLR8|51311
TM6SF1|53346
TMEM100|55273
TMEM101|84336
TMEM11|8834
TMEM119|338773
TMEM134|80194
TMEM141|85014
TMEM147|10430
TMEM150C|441027
TMEM160|54958
TMEM161A|54929
TMEM184C|55751
TMEM186|25880
TMEM191A|84222
TMEM200A|114801
TMEM205|374882
TMEM208|29100
TMEM219|124446
TMEM223|79064
TMEM26|219623
TMEM30A|55754
TMEM35|59353
TMEM47|83604
TMEM93|83460
TMF1|7110
TMTC2|160335
TMTC3|160418
TMUB1|83590
TNFAIP3|7128
TNFRSF19|55504
TNFSF13B|10673
TNFSF8|944
TNIK|23043
TNIP2|79155
TNKS2|80351
TNN|63923
TNPO1|3842
TNRC6A|27327
TNS1|7145
TNS3|64759
TOMM40|10452
TOMM6|100188893
TOR1AIP1|26092
TOR1AIP2|163590
TOR2A|27433
TP53I13|90313
TP53TG1|11257
TPP1|1200
TPP2|7174
TRAF2|7186
TRAF4|9618
TRAF6|7189
TRAK2|66008
TRAM2|9697
TRANK1|9881
TRAP1|10131
TRAPPC5|126003
TRAPPC6A|79090
TRIM11|81559
TRIM22|10346
TRIM23|373
TRIM28|10155
TRIM33|51592
TRIM44|54765
TRIM56|81844
TRIM6|117854
TRIM61|391712
TRIO|7204
TRIP11|9321
TRIP12|9320
TRMT1|55621
TRMT2A|27037
TRMT61A|115708
TRMU|55687
TRPC1|7220
TRPC3|7222
TRPC6|7225
TRPM7|54822
TRPS1|7227
TRPT1|83707
TSC22D2|9819
TSEN34|79042
TSEN54|283989
TSHZ2|128553
TSHZ3|57616
TSPAN18|90139
TSPYL3|128854
TSSC1|7260
TSSC4|10078
TSTD1|100131187
TSTD2|158427
TTBK2|146057
TTC15|51112
TTC21B|79809
TTC28|23331
TTC37|9652
TTLL7|79739
TUB|7275
TUBA4A|7277
TUBGCP2|10844
TUBGCP4|27229
TUFM|7284
TWSG1|57045
TXLNB|167838
TXLNG|55787
TXNL4A|10907
TXNRD2|10587
TYSND1|219743
UACA|55075
UBE2M|9040
UBE2S|27338
UBE3A|7337
UBL5|59286
UBL7|84993
UBR1|197131
UBR2|23304
UBR3|130507
UBTD2|92181
UBXN1|51035
UBXN2B|137886
UBXN4|23190
UBXN7|26043
UCKL1|54963
UCN|7349
UEVLD|55293
UGCG|7357
UHMK1|127933
UHRF1BP1L|23074
UNC5C|8633
UQCR10|29796
UQCR11|10975
UQCRC1|7384
UQCRH|7388
UQCRQ|27089
URM1|81605
USE1|55850
USMG5|84833
USP12|219333
USP24|23358
USP25|29761
USP32|84669
USP34|9736
USP47|55031
USP51|158880
USP8|9101
USP9X|8239
UTP14C|9724
UTRN|7402
UXT|8409
VAMP7|6845
VASH2|79805
VCAN|1462
VCL|7414
VCPIP1|80124
VGLL3|389136
VPS13B|157680
VPS13C|54832
VPS13D|55187
VPS25|84313
VPS28|51160
VPS72|6944
VSIG4|11326
WAC|51322
WASF2|10163
WASF3|10810
WASH2P|375260
WASH7P|653635
WBP1|23559
WBSCR16|81554
WBSCR22|114049
WDFY1|57590
WDFY3|23001
WDFY4|57705
WDR13|64743
WDR18|57418
WDR31|114987
WDR34|89891
WDR44|54521
WDR47|22911
WDR82|80335
WDR83|84292
WDR85|92715
WIBG|84305
WIPF1|7456
WISP1|8840
WNK3|65267
WRN|7486
WWC2|80014
WWC3|55841
WWTR1|25937
XAB2|56949
XCR1|2829
XRN1|54464
XYLT1|64131
YAP1|10413
YDJC|150223
YIF1A|10897
YLPM1|56252
YPEL2|388403
YTHDC2|64848
YTHDF3|253943
YY2|404281
ZAK|51776
ZBED3|84327
ZBTB10|65986
ZBTB11|27107
ZBTB16|7704
ZBTB20|26137
ZBTB26|57684
ZBTB37|84614
ZBTB38|253461
ZBTB44|29068
ZBTB8A|653121
ZC3H13|23091
ZCCHC11|23318
ZCCHC14|23174
ZCCHC24|219654
ZCCHC2|54877
ZDBF2|57683
ZDHHC12|84885
ZDHHC15|158866
ZDHHC20|253832
ZDHHC21|340481
ZDHHC24|254359
ZEB1|6935
ZEB2|9839
ZFAND2B|130617
ZFHX3|463
ZFHX4|79776
ZFP106|64397
ZFP1|162239
ZFP90|146198
ZFP91|80829
ZFP92|139735
ZFPL1|7542
ZFPM2|23414
ZFR|51663
ZFX|7543
ZFYVE16|9765
ZFYVE20|64145
ZFYVE26|23503
ZFYVE27|118813
ZGPAT|84619
ZHX1|11244
ZIK1|284307
ZMAT3|64393
ZMIZ1|57178
ZMYM4|9202
ZMYND11|10771
ZMYND19|116225
ZNF135|7694
ZNF148|7707
ZNF154|7710
ZNF167|55888
ZNF192|7745
ZNF208|7757
ZNF221|7638
ZNF225|7768
ZNF236|7776
ZNF25|219749
ZNF257|113835
ZNF281|23528
ZNF292|23036
ZNF295|49854
ZNF296|162979
ZNF347|84671
ZNF354C|30832
ZNF366|167465
ZNF37A|7587
ZNF382|84911
ZNF391|346157
ZNF394|84124
ZNF407|55628
ZNF408|79797
ZNF417|147687
ZNF41|7592
ZNF420|147923
ZNF423|23090
ZNF426|79088
ZNF430|80264
ZNF436|80818
ZNF444|55311
ZNF445|353274
ZNF446|55663
ZNF454|285676
ZNF462|58499
ZNF471|57573
ZNF484|83744
ZNF486|90649
ZNF507|22847
ZNF511|118472
ZNF518B|85460
ZNF521|25925
ZNF524|147807
ZNF532|55205
ZNF542|147947
ZNF551|90233
ZNF568|374900
ZNF570|148268
ZNF573|126231
ZNF579|163033
ZNF585A|199704
ZNF585B|92285
ZNF593|51042
ZNF609|23060
ZNF611|81856
ZNF614|80110
ZNF615|284370
ZNF616|90317
ZNF619|285267
ZNF622|90441
ZNF626|199777
ZNF641|121274
ZNF643|65243
ZNF644|84146
ZNF649|65251
ZNF653|115950
ZNF654|55279
ZNF660|285349
ZNF667|63934
ZNF676|163223
ZNF677|342926
ZNF678|339500
ZNF688|146542
ZNF689|115509
ZNF692|55657
ZNF699|374879
ZNF704|619279
ZNF727|442319
ZNF768|79724
ZNF770|54989
ZNF784|147808
ZNF787|126208
ZNF788|388507
ZNF791|163049
ZNF804A|91752
ZNF813|126017
ZNF81|347344
ZNF827|152485
ZNF828|283489
ZNF829|374899
ZNF843|283933
ZNF844|284391
ZNF98|148198
ZNHIT1|10467
ZNHIT2|741
ZNRD1|30834
ZNRF1|84937
ZSCAN12|9753
ZSCAN23|222696
ZSWIM1|90204
ZYG11B|79699
