Name	UCSC_RefGene_Name	UCSC_RefGene_Accession	UCSC_RefGene_Group	UCSC_CpG_Islands_Name
cg02666257	FLI1	NM_002017;NM_001167681	Body	
cg02666257	FLI1	NM_002017;NM_001167681	5'UTR	
cg02711163	S100A9	NM_002965	TSS200	
cg03172688	PCDH1	NM_032420;NM_002587	Body	chr5:141255564-141257968
cg03249630	ANKRD22	NM_144590	TSS200	
cg03301498	MED29	NM_017592	3'UTR	chr19:39893181-39893613
cg03891318	NMNAT3	NM_178177	5'UTR	
cg03995434	KIAA1147	NM_001080392	Body	
cg03998348	TMCO5A	NM_152453	TSS200	
cg04063166	KCNA4	NM_002233	5'UTR	chr11:30037672-30037944
cg04109883	C10orf72	NM_001031746	Body	
cg04956511	PTPN6	NM_080548	Body	chr12:7053149-7053927
cg05254221	FAM13C	NM_001001971;NM_001166698;NM_001143773;NM_198215	Body	
cg05304729	MNDA	NM_002432	TSS1500	
cg05696969	SH3RF2	NM_152550	Body	
cg05924780	LPAR5	NM_020400	TSS1500	
cg06733329	MXD3	NM_001142935;NM_031300	TSS1500	chr5:176738448-176739562
cg06745704	SYTL1	NM_032872	TSS200	
cg07343027	DUS1L	NM_022156	TSS1500	chr17:80022655-80024178
cg07678594	JUP	NM_021991;NM_002230	5'UTR	
cg08129490	CHIA	NM_021797;NM_201653	TSS1500	
cg08141659	MCF2L	NM_001112732	TSS200	chr13:113622737-113623660
cg08200419	C10orf91	NM_173541	Body	
cg08287791	ANKS1B	NM_152788	Body	
cg09080874	DLG2	NM_001142699;NM_001364;NM_001142702;NM_001142700	Body	
cg09475041	F9	NM_000133	TSS200	
cg09554876	BEND5	NM_024603;NM_032785	Body	
cg09554876	AGBL4	NM_024603;NM_032785	Body	
cg09832443	CREB5	NM_004904;NM_182899;NM_182898	Body	
cg10020892	BCL9	NM_004326	5'UTR	
cg11169848	LOC100130987	NR_024469;NM_013246;NM_001166212	Body	chr11:67139887-67141146
cg11169848	CLCF1	NR_024469;NM_013246;NM_001166212	TSS1500	chr11:67139887-67141146
cg11385536	CABC1	NM_020247	5'UTR	
cg11783815	C6orf227	NR_027908	Body	chr6:33560892-33561189
cg11820833	PLEKHG3	NM_015549	5'UTR	
cg12416080	LRRC3B	NM_052953	5'UTR	
cg12479516	GRM7	NM_181874;NM_000844	Body	
cg12492380	MYH16	NR_002147	Body	
cg12690127	PTPN6	NM_080548	TSS200	chr12:7053149-7053927
cg12744634	CCDC21	NM_022778	TSS1500	chr1:26560449-26561028
cg12752647	SPOCK2	NM_014767;NM_001134434	TSS1500	chr10:73846806-73848233
cg13125488	LOC399959	NR_024430;NM_001001786	Body	
cg13125488	BLID	NR_024430;NM_001001786	TSS1500	
cg13441891	KIAA0182	NM_001134473;NM_014615	5'UTR	chr16:85644947-85649027
cg13441891	KIAA0182	NM_001134473;NM_014615	Body	chr16:85644947-85649027
cg14150186	CYLC2	NM_001340	Body	
cg14185201	NRXN3	NM_004796	Body	
cg14333454	SFN	NM_006142	TSS1500	chr1:27189912-27190128
cg14530290	ZMIZ1	NM_020338	5'UTR	
cg14646244	SLC26A4	NM_000441;NR_028137	TSS1500	chr7:107301205-107302416
cg14646244	LOC286002	NM_000441;NR_028137	Body	chr7:107301205-107302416
cg15056794	LOC399959	NR_024430;NM_001001786	Body	
cg15056794	BLID	NR_024430;NM_001001786	TSS1500	
cg15241236	C8orf34	NM_052958	Body	
cg15411840	CCDC162	NR_028595	TSS200	chr6:109611449-109612230
cg15722533	TEAD1	NM_021961	Body	
cg16781484	ZNF804B	NM_181646;NM_152706	Body	
cg16781484	MGC26647	NM_181646;NM_152706	TSS1500	
cg17431952	KCNN2	NM_170775;NM_021614	Body	
cg18582260	PARP4	NM_006437	5'UTR	chr13:25086522-25087067
cg18720486	SHQ1	NM_018130	Body	
cg18721397	SUB1	NM_006713	TSS1500	chr5:32585603-32586365
cg18763629	LOC100130872	NR_024569;NR_033182	Body	chr4:1202956-1203200
cg18763629	LOC100130872-SPON2	NR_024569;NR_033182	Body	chr4:1202956-1203200
cg19348484	FURIN	NM_002569	5'UTR	chr15:91414311-91415427
cg19400926	TRIM27	NM_006510	Body	chr6:28890951-28892013
cg19464419	EPHA7	NM_004440	Body	
cg19544434	PTPRE	NM_130435;NM_006504	TSS200	
cg19544434	PTPRE	NM_130435;NM_006504	Body	
cg19949932	MPPED2	NM_001145399;NM_001584	Body	
cg20218614	FAM83A	NM_207006;NM_032899;NM_207006;NM_032899	1stExon	
cg20218614	FAM83A	NM_207006;NM_032899;NM_207006;NM_032899	5'UTR	
cg20220678	SH2D4A	NM_022071	Body	
cg20373634	NOLC1	NM_004741	TSS1500	chr10:103911696-103912546
cg20682639	PDZD2	NM_178140;NM_178140	5'UTR	
cg20682639	PDZD2	NM_178140;NM_178140	1stExon	
cg21052656	AIP	NM_003977	TSS1500	chr11:67250344-67250864
cg22109370	ENGASE	NM_001042573	TSS1500	
cg22531371	MUC1	NM_001018016;NM_001044391;NM_001044393;NM_001044392;NM_001044390;NM_002456;NM_001018017	TSS200	chr1:155163434-155163818
cg23510807	LFNG	NM_002304;NM_001166355;NM_001040167;NM_001040168	3'UTR	chr7:2565872-2566114
cg23510807	LFNG	NM_002304;NM_001166355;NM_001040167;NM_001040168	Body	chr7:2565872-2566114
cg23860325	HPVC1	NR_004422	TSS1500	
cg24156261	C3orf26	NM_032359;NM_182909;NM_001042459	Body	
cg24156261	FILIP1L	NM_032359;NM_182909;NM_001042459	5'UTR	
cg24655701	LOC399959	NR_024430;NR_029515	Body	
cg24655701	MIR100	NR_024430;NR_029515	TSS1500	
cg25471443	SYTL1	NM_032872	TSS1500	
cg25724842	PACRG	NM_152410;NM_001080378;NM_001080379	Body	chr6:163570162-163570814
cg26449294	DLG2	NM_001142699;NM_001142702;NM_001142700;NM_001364	3'UTR	
cg26458557	IQSEC3	NM_001170738	3'UTR	
cg26622634	GFRA1	NM_001145453;NM_005264;NM_145793	Body	chr10:117884813-117885029
cg26874999	TMCO7	NM_024562	Body	
cg27149973	MGAT5B	NM_144677;NM_198955	Body	chr17:74864170-74866657
cg27149973	MGAT5B	NM_144677;NM_198955	TSS200	chr17:74864170-74866657
cg27373604	DLG2	NM_001142702;NM_001142699;NM_001364;NM_001142700	5'UTR	
cg27373604	DLG2	NM_001142702;NM_001142699;NM_001364;NM_001142700	Body	
cg27504861	CA10	NM_001082533;NM_020178;NM_001082534	Body	
cg00201457	TRIM42	NM_152616	Body	chr3:140401459-140401986
cg00233633	CPVL	NM_031311;NM_019029	Body	
cg00282706	ANO2	NM_020373	TSS200	
cg00437411	GCNT3	NM_004751	TSS200	
cg01011769	KIAA0182	NM_001134473;NM_014615	5'UTR	chr16:85644947-85649027
cg01011769	KIAA0182	NM_001134473;NM_014615	Body	chr16:85644947-85649027
cg01026898	LOC221122	NR_026681	TSS200	
cg01058360	PRKAG2	NM_016203;NM_001040633	Body	
cg01074356	DAB1	NM_021080	5'UTR	chr1:57887963-57890637
cg01093854	TET1	NM_030625	Body	
cg01359822	ETS2	NM_005239	TSS1500	chr21:40177002-40178667
cg01463828	PDLIM2	NM_021630;NM_198042;NM_176871	Body	
cg01502428	TIMP2	NM_003255	3'UTR	chr17:76851759-76851973
cg01556466	ADCYAP1R1	NM_001118	Body	
cg01618151	C6orf81	NM_145028	Body	
cg01715680	BTBD7	NM_001002860	Body	
cg01963374	EPS8L2	NM_022772	TSS1500	chr11:705794-706534
cg01963702	MICAL2	NM_014632	Body	
cg01970336	EPS15	NM_001981	TSS1500	chr1:51984547-51985216
cg01994290	PLEKHG3	NM_015549	TSS1500	chr14:65170876-65172007
cg02059755	HEPH	NM_138737;NM_001130860;NM_014799	Body	
cg02059755	HEPH	NM_138737;NM_001130860;NM_014799	TSS1500	
cg02073465	GCNT3	NM_004751;NM_004751	1stExon	
cg02073465	GCNT3	NM_004751;NM_004751	5'UTR	
cg02149376	PRSS12	NM_003619	Body	chr4:119273305-119274458
cg02181247	ADM	NM_001124	TSS1500	chr11:10326048-10326590
cg02186444	ARMC7	NM_024585	Body	chr17:73124915-73125154
cg02308232	KDM6B	NM_001080424	TSS1500	chr17:7745066-7748420
cg02348449	ZSCAN18	NR_027135;NM_001145542	TSS1500	chr19:58629309-58630241
cg02360367	SKI	NM_003036	Body	
cg02493905	TUFT1	NM_001126337;NM_020127	Body	
cg02625804	KIAA1026	NM_201628;NM_015209	Body	
cg02739870	SLC12A7	NM_006598	TSS1500	chr5:1111396-1112388
cg02911077	TMC8	NM_152468;NM_007267	Body	chr17:76127521-76128406
cg02911077	TMC6	NM_152468;NM_007267	TSS200	chr17:76127521-76128406
cg02937491	NEDD4L	NM_001144964;NM_015277;NM_001144971;NM_001144966;NM_001144965;NM_001144968;NM_001144966;NM_001144967;NM_001144969;NM_001144970	5'UTR	
cg02937491	NEDD4L	NM_001144964;NM_015277;NM_001144971;NM_001144966;NM_001144965;NM_001144968;NM_001144966;NM_001144967;NM_001144969;NM_001144970	Body	
cg02937491	NEDD4L	NM_001144964;NM_015277;NM_001144971;NM_001144966;NM_001144965;NM_001144968;NM_001144966;NM_001144967;NM_001144969;NM_001144970	1stExon	
cg03039990	MIR770	NR_030528;NR_003531;NR_003530;NR_002766	TSS1500	
cg03039990	MEG3	NR_030528;NR_003531;NR_003530;NR_002766	Body	
cg03052794	C19orf22	NM_138774	Body	chr19:911689-911996
cg03415545	ADH1C	NM_000669	TSS200	
cg03543319	PROKR1	NM_138964	Body	chr2:68882342-68882574
cg03576748	DECR2	NM_020664	Body	chr16:450834-451140
cg03742808	TMC8	NM_152468;NM_007267	Body	chr17:76127521-76128406
cg03742808	TMC6	NM_152468;NM_007267	TSS200	chr17:76127521-76128406
cg03821121	MICAL2	NM_014632	5'UTR	
cg03822198	MAP1LC3B2	NM_001085481	5'UTR	
cg03825810	SCN11A	NM_014139	3'UTR	
cg03882071	LOC100128977	NR_024559;NM_175882	Body	
cg03882071	IMP5	NR_024559;NM_175882	TSS200	
cg03935116	FAM60A	NM_021238;NM_001135811;NR_026806;NM_001135812	5'UTR	chr12:31476717-31479466
cg03935116	FLJ13224	NM_021238;NM_001135811;NR_026806;NM_001135812	TSS1500	chr12:31476717-31479466
cg04344730	DAB1	NM_021080	Body	
cg04379703	IQSEC1	NM_001134382	Body	
cg04412950	NCRNA00159	NR_024352	TSS1500	
cg04600092	LOC93432	NR_003715	TSS1500	
cg04604142	LUC7L3	NM_006107;NM_016424	TSS1500	chr17:48796750-48797317
cg04708601	GRIK2	NM_001166247;NM_175768;NM_021956	Body	
cg04714466	SULT2B1	NM_177973	Body	chr19:49061545-49061769
cg04907244	SNORD93	NR_003075	TSS1500	chr7:22893794-22894577
cg05012239	MUC20	NM_152673	TSS200	
cg05014103	SPERT	NM_152719	TSS200	
cg05142272	CBLN3	NM_001039771	3'UTR	chr14:24898779-24899288
cg05416223	TMPRSS4	NM_019894;NM_001083947;NM_019894;NM_001083947	5'UTR	
cg05416223	TMPRSS4	NM_019894;NM_001083947;NM_019894;NM_001083947	1stExon	
cg05445326	TM4SF19	NM_138461	TSS1500	
cg05486094	VAMP8	NM_003761	TSS200	
cg05503433	ARHGEF1	NM_004706;NM_199002;NM_198977	Body	chr19:42408315-42408535
cg05508862	SLC5A10	NM_001042450;NM_001039999;NM_152351	Body	
cg05508862	FAM83G	NM_001042450;NM_001039999;NM_152351	Body	
cg05740254	KLKB1	NM_000892	TSS200	
cg05854601	SLC8A1	NM_001112801;NM_001112802;NM_021097;NM_001112800	Body	
cg06051311	TRIM15	NM_033229;NM_033229	5'UTR	
cg06051311	TRIM15	NM_033229;NM_033229	1stExon	
cg06056880	GABRB2	NM_000813;NM_021911	3'UTR	
cg06085579	PLD1	NM_001130081;NM_002662	5'UTR	
cg06106653	NRG3	NM_001165972;NM_001165973;NM_001010848	Body	
cg06495586	LNX1	NM_001126328;NM_032622	Body	
cg06495586	LNX1	NM_001126328;NM_032622	TSS1500	
cg06547034	GRID1	NM_017551	Body	
cg06768939	BAIAP2	NM_017450;NM_006340;NM_001144888;NM_017451	Body	chr17:79026043-79026355
cg06884882	C1orf228	NM_001145636	Body	chr1:45189705-45190558
cg06912282	MIB2	NM_001170687;NM_001170688;NM_080875;NM_001170689;NM_001170686;NR_033183	Body	chr1:1563674-1564032
cg06912936	KCNIP1	NM_001034837;NM_014592;NM_001034838	Body	chr5:169931065-169931471
cg07002540	KCMF1	NM_020122	3'UTR	
cg07012178	PRKAG2	NM_016203;NM_001040633;NM_024429	Body	chr7:151300169-151300726
cg07047471	NEK10	NM_199347	Body	
cg07047589	PHGR1	NM_001145643	TSS1500	
cg07185664	INPP5K	NM_130766;NM_001135642;NM_016532	Body	chr17:1412125-1412450
cg07588216	ENTPD6	NM_001114089;NM_001247	Body	
cg07674386	CNTN3	NM_020872	Body	
cg07814567	DAPP1	NM_014395	TSS1500	
cg07915516	AXIN1	NM_003502;NM_181050	Body	chr16:374732-375328
cg07974833	ADAMTS3	NM_014243	Body	chr4:73433783-73434289
cg07978738	ABLIM1	NM_001003408;NM_001003407;NM_002313	Body	
cg07999201	LDB2	NM_001290;NM_001130834	Body	
cg08106792	S100A6	NM_014624	TSS1500	chr1:153508424-153508840
cg08151442	LRRFIP1	NM_001137553;NM_004735;NM_001137550;NM_001137552;NM_001137551	Body	
cg08273233	HTR1E	NM_000865	5'UTR	
cg08314781	EML6	NM_001039753	Body	
cg08323540	GABRP	NM_014211	TSS1500	
cg08412316	MTMR2	NM_201281;NM_201278;NR_023356;NM_016156	TSS1500	chr11:95656912-95657365
cg08461840	GNG7	NM_052847	5'UTR	chr19:2622522-2622859
cg08538032	ELAVL4	NM_001144777;NM_001144776;NM_021952;NM_001144775;NM_001144774	Body	
cg08538032	ELAVL4	NM_001144777;NM_001144776;NM_021952;NM_001144775;NM_001144774	TSS200	
cg08568298	LOC100128977	NR_024559;NM_175882	Body	
cg08568298	IMP5	NR_024559;NM_175882	TSS200	
cg08651937	PA2G4P4	NR_003284	TSS1500	chr3:156533839-156535131
cg08752433	PPTC7	NM_139283	Body	chr12:111020507-111021192
cg08755026	VAMP5	NM_006634	Body	chr2:85822404-85822983
cg08766256	CMIP	NM_030629;NM_198390	TSS1500	
cg08766256	CMIP	NM_030629;NM_198390	Body	
cg08795557	WBSCR17	NM_022479	Body	
cg08826152	ADORA2B	NM_000676	Body	
cg08887327	LRRFIP1	NM_001137550	Body	
cg09001777	FUT3	NM_001097641;NM_001097640;NM_000149;NM_001097639	TSS200	
cg09070415	TINAGL1	NM_022164	TSS1500	
cg09082823	USH1C	NM_153676;NM_005709	Body	chr11:17565766-17566052
cg09365529	C1orf173	NM_001002912	TSS1500	
cg09539538	FERMT1	NM_017671	TSS200	chr20:6103436-6103970
cg09564253	LASP1	NM_006148	Body	chr17:37025737-37027104
cg09850418	BEND5	NM_024603;NM_032785	Body	
cg09850418	AGBL4	NM_024603;NM_032785	Body	
cg10022788	GNA15	NM_002068	TSS200	
cg10122877	C4orf19	NM_018302;NM_001104629	TSS1500	
cg10122877	C4orf19	NM_018302;NM_001104629	5'UTR	
cg10260711	ZMAT4	NM_024645;NM_001135731	Body	
cg10502206	ZEB2	NM_014795;NM_001171653	Body	
cg10529613	STXBP6	NM_014178	Body	
cg10588834	AUTS2	NM_015570;NM_001127232;NM_001127231	Body	
cg10731020	PARD3	NM_019619	Body	
cg10761804	KLF16	NM_031918	TSS1500	chr19:1862962-1863257
cg10863207	RFFL	NM_057178	5'UTR	chr17:33416129-33416578
cg11035100	C20orf114	NM_033197	TSS200	
cg11329129	EPS8L2	NM_022772	TSS1500	chr11:705794-706534
cg11526413	PLIN1	NM_001145311;NM_002666	TSS1500	
cg11549874	OSBP2	NM_030758	Body	chr22:31198491-31199033
cg11601375	KRT6B	NM_005555	TSS200	
cg11859489	SLCO3A1	NM_001145044;NM_013272	Body	chr15:92459266-92459678
cg11896170	ARL14	NM_025047;NM_025047	1stExon	
cg11896170	ARL14	NM_025047;NM_025047	5'UTR	
cg12086028	VPS52	NM_022553;NM_022551	TSS1500	chr6:33239326-33240099
cg12086028	RPS18	NM_022553;NM_022551	Body	chr6:33239326-33240099
cg12200412	CD1E	NM_001042587;NM_001042583;NM_001042584;NM_001042585;NM_001042586;NM_030893	Body	
cg12251075	NME2	NM_001018137;NM_001018138;NM_001018139;NM_001018136;NM_002512	Body	chr17:49243620-49244647
cg12251075	NME1-NME2	NM_001018137;NM_001018138;NM_001018139;NM_001018136;NM_002512	Body	chr17:49243620-49244647
cg12305074	MAGI2	NM_012301	Body	
cg12354382	BFSP2	NM_003571;NM_003571	1stExon	
cg12354382	BFSP2	NM_003571;NM_003571	5'UTR	
cg12607188	LEAP2	NM_052971	TSS1500	
cg12614090	ABLIM1	NM_001003407;NM_001003408;NM_001003407;NM_001003408	1stExon	
cg12614090	ABLIM1	NM_001003407;NM_001003408;NM_001003407;NM_001003408	5'UTR	
cg12699756	HSD17B8	NM_014234	Body	chr6:33172289-33172823
cg12753787	PRDM16	NM_022114;NM_199454	Body	chr1:3239915-3240261
cg12963560	MAP7	NM_003980	Body	chr6:136870826-136872145
cg13049992	GRAMD3	NM_001146321;NM_001146320;NM_001146322;NM_001146319;NM_023927	Body	
cg13049992	GRAMD3	NM_001146321;NM_001146320;NM_001146322;NM_001146319;NM_023927	5'UTR	
cg13049992	GRAMD3	NM_001146321;NM_001146320;NM_001146322;NM_001146319;NM_023927	TSS200	
cg13125627	C8orf4	NM_020130	TSS1500	
cg13186559	ZMIZ1	NM_020338	5'UTR	
cg13237068	CENPJ	NM_018451	Body	
cg13399773	EPB41L1	NM_177996	TSS1500	
cg13419869	C1orf106	NM_001142569;NM_018265	TSS1500	chr1:200860076-200860576
cg13419869	C1orf106	NM_001142569;NM_018265	Body	chr1:200860076-200860576
cg13473184	PMVK	NM_006556	Body	
cg13482233	HEPH	NM_138737;NM_138737	5'UTR	
cg13482233	HEPH	NM_138737;NM_138737	1stExon	
cg13567744	WBSCR17	NM_022479	Body	
cg13655615	LOC100129066	NR_024280	Body	chr9:92291268-92291524
cg13708301	TJP2	NM_001170414	TSS1500	chr9:71736074-71737367
cg13784312	RAPGEF1	NM_005312	Body	
cg13887966	MYO1E	NM_004998	Body	
cg13977486	C10orf95	NM_024886;NM_024886	5'UTR	chr10:104210095-104210985
cg13977486	C10orf95	NM_024886;NM_024886	1stExon	chr10:104210095-104210985
cg14237025	CCL16	NM_004590	TSS1500	
cg14281591	KLF5	NM_001730	Body	chr13:73632860-73634370
cg14538944	DIRC3	NR_026597	Body	
cg14605590	LOC100128076	NR_015444	Body	chr9:94903572-94903827
cg14800014	GRAMD3	NM_001146321;NM_001146320;NM_001146322;NM_001146319;NM_023927	Body	
cg14800014	GRAMD3	NM_001146321;NM_001146320;NM_001146322;NM_001146319;NM_023927	5'UTR	
cg14800014	GRAMD3	NM_001146321;NM_001146320;NM_001146322;NM_001146319;NM_023927	TSS200	
cg15336438	COMTD1	NM_144589	Body	chr10:76993892-76995953
cg15434778	NRXN3	NM_004796;NM_001105250;NM_138970	Body	
cg15541611	C10orf95	NM_024886	TSS200	chr10:104210095-104210985
cg15561933	C8A	NM_000562	TSS1500	
cg15602548	SPTBN1	NM_178313;NM_003128	Body	chr2:54785026-54785969
cg15692052	HTR2A	NM_001165947;NM_000621	TSS1500	
cg15770125	C3orf32	NM_015931	TSS200	
cg15977773	SLC44A5	NM_152697;NM_001130058	5'UTR	
cg16113793	LAMA3	NM_000227;NM_001127718;NM_198129;NM_001127717	TSS1500	
cg16113793	LAMA3	NM_000227;NM_001127718;NM_198129;NM_001127717	Body	
cg16166559	PRR5	NM_001017529;NM_001017530;NM_001017528;NM_015366	5'UTR	
cg16166559	PRR5	NM_001017529;NM_001017530;NM_001017528;NM_015366	TSS200	
cg16244889	PRIMA1	NM_178013	Body	
cg16375358	CACNG5	NM_145811;NM_014404	TSS200	
cg16425489	KCNIP1	NM_001034838;NM_004137	Body	
cg16425489	KCNMB1	NM_001034838;NM_004137	3'UTR	
cg16537676	DDR1	NM_001954;NM_013993	TSS1500	chr6:30852102-30852676
cg16558770	ZNF710	NM_198526	5'UTR	chr15:90545272-90545911
cg16641358	FBXL7	NM_012304	Body	chr5:15928088-15928518
cg16661143	ABTB2	NM_145804	Body	
cg16780603	NOSTRIN	NM_001171631;NM_052946;NM_001171632;NM_001039724	5'UTR	
cg16780603	NOSTRIN	NM_001171631;NM_052946;NM_001171632;NM_001039724	TSS200	
cg16823292	PTGER3	NR_028294;NM_198717;NM_198714;NR_028293;NM_198715;NM_198718;NR_028292;NM_001126044;NM_198719;NM_198716	Body	
cg16823292	PTGER3	NR_028294;NM_198717;NM_198714;NR_028293;NM_198715;NM_198718;NR_028292;NM_001126044;NM_198719;NM_198716	3'UTR	
cg16925459	HDAC9	NM_178425;NM_178423;NM_058177;NM_058176;NM_014707	Body	
cg17210837	UGT3A1	NM_152404	3'UTR	
cg17240725	WBSCR26	NR_026690	TSS200	chr7:73152564-73153716
cg17273588	AFF3	NM_002285	TSS1500	
cg17756105	SDK1	NM_152744	Body	
cg17871403	ADCY2	NM_020546	3'UTR	
cg18048071	VIPR2	NM_003382	Body	
cg18062064	C20orf118	NM_080628	TSS200	
cg18093866	DDR1	NM_001954;NM_013993	TSS200	chr6:30852102-30852676
cg18093866	DDR1	NM_001954;NM_013993	TSS1500	chr6:30852102-30852676
cg18101140	LOC100130987	NR_024469;NM_013246;NM_001166212	Body	chr11:67139887-67141146
cg18101140	CLCF1	NR_024469;NM_013246;NM_001166212	TSS1500	chr11:67139887-67141146
cg18110015	ADAM8	NM_001164490;NM_001109;NM_001164489	Body	chr10:135082109-135082406
cg18160302	CADM1	NM_001098517;NM_014333	Body	
cg18248586	DRD2	NM_000795;NM_016574	5'UTR	
cg18287310	DAB1	NM_021080	5'UTR	
cg18421840	ADCYAP1R1	NM_001118	5'UTR	
cg18447785	ANKS1B	NM_152788	Body	
cg18685330	WBSCR17	NM_022479	Body	
cg18703951	CNR1	NM_016083;NM_001160259;NM_001160226;NM_001160260;NM_001160258;NM_033181	5'UTR	
cg18703951	CNR1	NM_016083;NM_001160259;NM_001160226;NM_001160260;NM_001160258;NM_033181	TSS1500	
cg18748374	MYO18A	NM_078471;NM_203318	Body	
cg18766795	FAM5B	NM_021165	3'UTR	
cg18842107	TCF7L2	NM_001146284;NM_001146285;NM_030756;NM_001146274;NM_001146286;NM_001146283	Body	
cg18856043	SLC44A4	NM_025257	Body	
cg18857467	HDAC1	NM_004964	Body	
cg18889147	FCRLB	NM_001002901	Body	chr1:161695637-161697298
cg18983132	MAGI2	NM_012301	Body	
cg18997129	EPHA1	NM_005232	1stExon	
cg19358520	SLC22A6	NM_153276;NM_153277;NM_153278;NM_004790	3'UTR	
