Name	UCSC_RefGene_Name	UCSC_RefGene_Accession	UCSC_RefGene_Group	UCSC_CpG_Islands_Name
cg11316131	MGAT1	NM_001114620;NM_001114618;NM_001114619;NM_001114620;NM_002406;NM_001114617	1stExon	chr5:180229375-180230147
cg11316131	MGAT1	NM_001114620;NM_001114618;NM_001114619;NM_001114620;NM_002406;NM_001114617	5'UTR	chr5:180229375-180230147
cg11316131	MGAT1	NM_001114620;NM_001114618;NM_001114619;NM_001114620;NM_002406;NM_001114617	TSS1500	chr5:180229375-180230147
cg11739633	MEF2D	NM_005920	5'UTR	
cg12636499	SH3PXD2A	NM_014631	Body	
cg13856340	SCAI	NM_001144877;NM_173690	Body	
cg13916835	SMG6	NM_017575;NM_001170957	Body	
cg14530290	ZMIZ1	NM_020338	5'UTR	
cg14684434	SNX18	NM_001145427;NM_001102575	Body	
cg15227982	C10orf26	NM_017787;NM_001083913	TSS200	
cg15227982	C10orf26	NM_017787;NM_001083913	Body	
cg15722533	TEAD1	NM_021961	Body	
cg16209517	KIAA1737	NM_033426	Body	
cg17277615	PIP4K2A	NM_005028	Body	
cg17740322	C10orf26	NM_017787;NM_001083913	TSS1500	
cg17740322	C10orf26	NM_017787;NM_001083913	Body	
cg18025275	BIN3	NM_018688;NR_027715	Body	
cg18025275	FLJ14107	NM_018688;NR_027715	Body	
cg18398753	STX6	NM_005819	Body	
cg18777299	STIM2	NM_001169117;NM_020860;NM_001169118	Body	
cg21527621	ACOT11	NM_147161;NM_015547	TSS1500	
cg21647257	CLIP3	NM_015526	TSS200	chr19:36523391-36523887
cg24453118	LRCH1	NM_015116;NM_001164213;NM_001164211	Body	
cg24718015	STAT3	NM_213662;NM_003150;NM_139276	Body	
cg25209842	FGF8	NM_033165;NM_006119;NM_033163;NM_033164	TSS1500	chr10:103535636-103536505
cg25510609	AKAP13	NM_144767;NM_007200;NM_006738	Body	
cg25947619	AKAP13	NM_144767;NM_007200;NM_006738	Body	
cg26385126	NCOR2	NM_006312;NM_001077261	Body	chr12:124911243-124911464
cg00158227	ESPN	NM_031475	Body	chr1:6514108-6516325
cg00704780	HDLBP	NM_203346;NM_005336	5'UTR	chr2:242211289-242212308
cg00746143	C3orf21	NM_152531	Body	
cg01189011	FHDC1	NM_033393	Body	chr4:153897051-153897360
cg01302136	PTK7	NM_002821;NM_152881;NM_152882;NM_152880	Body	
cg01720920	ZFYVE21	NM_024071	Body	chr14:104181378-104182952
cg01890836	MPRIP	NM_015134;NM_201274	Body	
cg02030542	VAC14	NM_018052	Body	chr16:70719114-70720441
cg02058870	SIPA1L1	NM_015556	5'UTR	
cg02401399	CLIP3	NM_015526	5'UTR	chr19:36523391-36523887
cg02580005	LRBA	NM_006726;NM_006439	Body	chr4:151504011-151505085
cg02580005	MAB21L2	NM_006726;NM_006439	1stExon	chr4:151504011-151505085
cg02748089	WWOX	NM_016373	Body	
cg02963266	BCL11B	NM_022898;NM_138576	Body	
cg03347444	QSER1	NM_001076786	5'UTR	
cg03351003	BCAR1	NM_001170718;NM_001170719;NM_001170721;NM_001170721;NM_001170715;NM_001170720;NM_014567;NM_001170716;NM_001170714;NM_001170717	Body	chr16:75269028-75269879
cg03351003	BCAR1	NM_001170718;NM_001170719;NM_001170721;NM_001170721;NM_001170715;NM_001170720;NM_014567;NM_001170716;NM_001170714;NM_001170717	1stExon	chr16:75269028-75269879
cg03351003	BCAR1	NM_001170718;NM_001170719;NM_001170721;NM_001170721;NM_001170715;NM_001170720;NM_014567;NM_001170716;NM_001170714;NM_001170717	5'UTR	chr16:75269028-75269879
cg03821121	MICAL2	NM_014632	5'UTR	
cg03921357	C1orf174	NM_207356	Body	chr1:3808490-3809236
cg04060571	BCAR1	NM_001170718;NM_001170719;NM_001170721;NM_001170715;NM_001170720;NM_014567;NM_001170714;NM_001170716;NM_001170717	Body	chr16:75269028-75269879
cg04128065	TAF5L	NM_014409	Body	chr1:229730341-229730617
cg04152610	BRD4	NM_014299;NM_058243	Body	
cg04723343	LRRFIP1	NM_001137553;NM_004735;NM_001137550;NM_001137552;NM_001137551	Body	chr2:238643905-238644109
cg05054998	C21orf70	NM_058190	Body	chr21:46378278-46378645
cg05270106	EEFSEC	NM_021937	Body	
cg05543520	LRIG1	NM_015541	Body	
cg05695876	NAV1	NM_020443	Body	
cg05956452	ZDHHC14	NM_153746;NM_024630	Body	chr6:158013812-158014256
cg06014401	EOMES	NM_005442	TSS1500	chr3:27765196-27765675
cg06093355	EPAS1	NM_001430	Body	
cg06215107	LRBA	NM_006726;NM_006439	Body	chr4:151504011-151505085
cg06215107	MAB21L2	NM_006726;NM_006439	1stExon	chr4:151504011-151505085
cg06276663	SH3PXD2A	NM_014631	Body	
cg06794543	ZFP106	NM_022473	TSS200	
cg06855485	GAB1	NM_002039;NM_207123	Body	
cg06891775	LOC283050	NR_024431;NR_024429;NR_015429	Body	
cg07630327	FNIP1	NM_133372;NM_001008738	Body	
cg07800034	VASN	NM_138440;NM_024535	5'UTR	
cg07800034	CORO7	NM_138440;NM_024535	Body	
cg07800658	RAB20	NM_017817	Body	
cg07803375	HEATR2	NM_017802	Body	chr7:813627-814392
cg07953015	SEPW1	NM_003009	3'UTR	chr19:48281585-48282351
cg08095452	CUEDC1	NM_017949	Body	chr17:55962573-55963229
cg08117110	STARD5	NM_181900	3'UTR	
cg08251704	DGKD	NM_152879;NM_003648	Body	
cg08251704	DGKD	NM_152879;NM_003648	TSS1500	
cg08749443	PLIN1	NM_001145311;NM_002666	TSS1500	
cg09205595	AGAP3	NM_031946;NM_001042535	TSS1500	chr7:150783076-150783293
cg09495207	SLC12A4	NM_001145962;NM_005072;NM_001145963;NM_001145961;NM_001145964;NM_000229	3'UTR	
cg09495207	LCAT	NM_001145962;NM_005072;NM_001145963;NM_001145961;NM_001145964;NM_000229	TSS1500	
cg09664479	CD82	NM_001024844;NM_002231	Body	
cg09744840	CCDC109A	NM_138357	Body	
cg09820244	SSBP3	NM_001009955;NM_018070;NM_145716	Body	
cg10427868	ZMIZ1	NM_020338	5'UTR	
cg10495164	EHD1	NM_006795	Body	
cg11022926	STK17A	NM_004760	Body	
cg11198596	LRIG1	NM_015541	Body	chr3:66550318-66551848
cg11526413	PLIN1	NM_001145311;NM_002666	TSS1500	
cg11891735	AES	NM_198970;NM_198969;NM_001130	Body	chr19:3061188-3061952
cg11970252	KIAA0564	NM_015058	Body	
cg12149795	DIP2A	NM_001146114;NM_206889;NM_015151;NM_001146116;NM_001146115;NM_206891;NM_206890	Body	chr21:47878070-47879576
cg12590521	CAMKK2	NM_172216;NM_006549;NM_172226;NM_153500;NM_153499	3'UTR	
cg12607188	LEAP2	NM_052971	TSS1500	
cg12985929	SEPT9	NM_001113492;NM_001113493;NM_001113491;NM_006640	5'UTR	chr17:75368688-75370506
cg12985929	SEPT9	NM_001113492;NM_001113493;NM_001113491;NM_006640	Body	chr17:75368688-75370506
cg13075537	TMEM57	NM_018202	Body	
cg13075942	RAD51L1	NM_133509	Body	
cg13107144	TPM1	NM_001018007;NM_001018020;NM_001018004;NM_001018005;NM_000366;NM_001018008;NM_001018006	Body	
cg13186559	ZMIZ1	NM_020338	5'UTR	
cg13399773	EPB41L1	NM_177996	TSS1500	
cg13823666	BAAT	NM_001127610;NM_001701	5'UTR	
cg13958389	VGLL4	NM_014667;NM_001128219	Body	
cg14377923	MTA1	NM_004689	Body	
cg14507146	C1QTNF3	NM_181435;NM_030945	TSS200	
cg14610335	COL27A1	NM_032888	Body	
cg14739664	SLC25A2	NM_031947;NM_031947	1stExon	chr5:140683195-140683773
cg14739664	SLC25A2	NM_031947;NM_031947	5'UTR	chr5:140683195-140683773
cg14792548	SMG6	NM_017575;NM_001170957	Body	
cg14840966	CDC42BPB	NM_006035	Body	
cg15155209	SLC6A6	NM_003043;NM_001134367	Body	
cg15649702	ABTB2	NM_145804	Body	
cg16081096	IQSEC1	NM_001134382;NM_014869	Body	chr3:12976966-12978182
cg16254374	BNC1	NM_001717	TSS1500	chr15:83951980-83953930
cg16636756	ITPRIP	NM_033397	5'UTR	
cg17036007	MEF2D	NM_005920	5'UTR	
cg17266233	DGKZ	NM_201533;NM_001105540;NM_003646;NM_201532	Body	
cg17266233	DGKZ	NM_201533;NM_001105540;NM_003646;NM_201532	TSS1500	
cg17344906	NFIX	NM_002501	3'UTR	chr19:13198699-13198999
cg17640485	TNK2	NM_001010938;NM_005781	Body	chr3:195622187-195623033
cg17640485	TNK2	NM_001010938;NM_005781	5'UTR	chr3:195622187-195623033
cg17715641	PHLDB3	NM_198850	Body	chr19:44005892-44006433
cg17753789	ZMIZ1	NM_020338	Body	
cg17833746	STAT3	NM_213662;NM_003150;NM_139276	Body	
cg17894755	C10orf26	NM_017787;NM_001083913	TSS200	
cg17894755	C10orf26	NM_017787;NM_001083913	Body	
cg18125241	NCDN	NM_001014841;NM_014284;NM_001014839	Body	chr1:36022680-36023834
cg18368599	CYP27C1	NM_001001665	Body	
cg18527651	IRAK2	NM_001570	3'UTR	
cg18889147	FCRLB	NM_001002901	Body	chr1:161695637-161697298
cg19043574	C2orf55	NM_207362	Body	chr2:99438297-99439884
cg19072291	CRCP	NM_001040647;NM_001142414;NR_024548;NM_001040648;NM_014478	3'UTR	
cg19072291	CRCP	NM_001040647;NM_001142414;NR_024548;NM_001040648;NM_014478	Body	
cg19130973	IQSEC1	NM_001134382;NM_014869	Body	chr3:12976966-12978182
cg19508622	PVT1	NR_003367	Body	
cg19559114	BRD4	NM_014299;NM_058243	Body	
cg19640166	ITPRIP	NM_033397	5'UTR	
cg19909063	NFIX	NM_002501	Body	chr19:13113370-13113571
cg19936016	CTBP1	NM_001328;NM_001012614	Body	chr4:1205817-1206203
cg20052079	JARID2	NM_004973	Body	
cg20376123	CELSR1	NM_014246	Body	chr22:46760450-46760679
cg20442697	LRRC17	NM_005824;NM_145032;NM_001031692;NM_005824;NM_001031692;NM_001111038	5'UTR	
cg20442697	FBXL13	NM_005824;NM_145032;NM_001031692;NM_005824;NM_001031692;NM_001111038	Body	
cg20442697	LRRC17	NM_005824;NM_145032;NM_001031692;NM_005824;NM_001031692;NM_001111038	1stExon	
cg20467658	LOC254559	NR_015411	Body	
cg20485874	LRRC17	NM_005824;NM_145032;NM_001031692;NM_005824;NM_001031692;NM_001111038	5'UTR	
cg20485874	FBXL13	NM_005824;NM_145032;NM_001031692;NM_005824;NM_001031692;NM_001111038	Body	
cg20485874	LRRC17	NM_005824;NM_145032;NM_001031692;NM_005824;NM_001031692;NM_001111038	1stExon	
cg20617917	TNK1	NM_003985	Body	chr17:7287198-7287940
cg21012061	MFSD4	NM_181644	Body	
cg21074347	FLJ46111	NR_027713	TSS1500	chr11:9112461-9113459
cg21140843	INPP5K	NM_130766;NM_016532;NM_001135642	3'UTR	chr17:1394439-1394813
cg21245875	TLE3	NM_001105192;NM_020908;NM_005078	Body	
cg22019158	AHDC1	NM_001029882	5'UTR	chr1:27929705-27930866
cg22023257	TPM4	NM_001145160;NM_003290	Body	
cg22420044	MCM7	NM_005916;NM_182776;NR_029498	Body	
cg22420044	MIR25	NM_005916;NM_182776;NR_029498	TSS200	
cg22438763	FOXD2	NM_004474;NR_026878	TSS1500	chr1:47899661-47900385
cg22438763	MGC12982	NM_004474;NR_026878	Body	chr1:47899661-47900385
cg23019935	CDC42	NM_044472;NM_001039802;NM_001791	Body	
cg23020514	TRAF3	NM_145726;NM_003300;NM_145725	Body	
cg23057220	MUM1	NR_024247;NM_032853	TSS200	chr19:1354420-1355350
cg23057220	MUM1	NR_024247;NM_032853	5'UTR	chr19:1354420-1355350
cg23097878	CRY2	NM_001127457;NM_021117	Body	
cg23403980	SMG6	NM_017575;NM_001170957	Body	
cg23643343	YWHAE	NM_006761;NR_024058	Body	
cg23708211	ELAC1	NM_018696	3'UTR	
cg23792308	COX10	NM_001303	Body	
cg23925540	DIP2B	NM_173602	Body	
cg23956565	RGNEF	NM_001080479	Body	
cg23983887	VPS13D	NM_015378;NM_018156	Body	
cg24154132	TRAF3	NM_145726;NM_003300;NM_145725	Body	
cg24187797	RMND5B	NM_022762	Body	
cg24579224	SKI	NM_003036	Body	
cg24653772	HEATR2	NM_017802	Body	chr7:791984-792238
cg25033076	MPPE1	NM_023075	Body	chr18:11880953-11881171
cg25104397	C10orf26	NM_017787;NM_001083913;NM_017787	5'UTR	
cg25104397	C10orf26	NM_017787;NM_001083913;NM_017787	Body	
cg25104397	C10orf26	NM_017787;NM_001083913;NM_017787	1stExon	
cg25513659	RPH3AL	NM_006987	5'UTR	chr17:185075-185296
cg25552843	ITPRIP	NM_033397	5'UTR	
cg25599924	ACOX3	NM_001101667;NM_003501	Body	
cg25800638	ITSN2	NM_019595;NM_006277;NM_147152	Body	
cg26663490	GPRC5C	NM_018653;NM_022036	Body	chr17:72442927-72443194
cg26843110	EDC3	NM_001142443;NM_025083;NM_001142444	Body	
cg27224823	TNFRSF25	NM_148970;NM_148966;NM_148965;NM_148967;NM_003790	3'UTR	chr1:6520584-6521955
cg00222472	PBX1	NM_002585	Body	chr1:164545540-164545917
cg00283857	ZDHHC14	NM_153746;NM_024630	Body	chr6:158013812-158014256
cg00290758	GRK5	NM_005308	Body	
cg00334821	LIMK1	NM_002314	Body	
cg00348389	TRIM72	NM_001008274	Body	chr16:31235525-31236104
cg00649632	ABCC1	NM_019862;NM_019898;NM_019899;NM_004996;NM_019900	Body	
cg00658590	FHIT	NM_001166243;NM_002012	5'UTR	
cg00695799	ZC3H12D	NM_207360	5'UTR	
cg00711496	C19orf76	NM_001101340;NM_198318;NM_198319;NM_001536	TSS1500	chr19:50191330-50191559
cg00711496	PRMT1	NM_001101340;NM_198318;NM_198319;NM_001536	Body	chr19:50191330-50191559
cg00739667	CMIP	NM_030629;NM_198390	Body	
cg00793935	TRPM8	NM_024080	Body	chr2:234847647-234847857
cg00871371	SEPT9	NM_001113492;NM_001113493;NM_001113491;NM_006640;NM_001113494	5'UTR	chr17:75368688-75370506
cg00871371	SEPT9	NM_001113492;NM_001113493;NM_001113491;NM_006640;NM_001113494	Body	chr17:75368688-75370506
cg00871371	SEPT9	NM_001113492;NM_001113493;NM_001113491;NM_006640;NM_001113494	TSS1500	chr17:75368688-75370506
cg00928596	MIR365-1	NR_029854	TSS200	
cg01012445	LRBA	NM_006726;NM_006439	Body	chr4:151504011-151505085
cg01012445	MAB21L2	NM_006726;NM_006439	1stExon	chr4:151504011-151505085
cg01020484	C14orf43	NM_194278;NM_001043318	3'UTR	chr14:74185482-74185994
cg01051524	NCK2	NM_003581;NM_001004722	5'UTR	
cg01149192	MGAT1	NM_001114618;NM_001114620;NM_002406;NM_001114617;NM_001114619	5'UTR	chr5:180229375-180230147
cg01149192	MGAT1	NM_001114618;NM_001114620;NM_002406;NM_001114617;NM_001114619	TSS200	chr5:180229375-180230147
cg01149192	MGAT1	NM_001114618;NM_001114620;NM_002406;NM_001114617;NM_001114619	TSS1500	chr5:180229375-180230147
cg01158277	CRYAB	NM_001885;NM_001541	TSS1500	
cg01158277	HSPB2	NM_001885;NM_001541	TSS200	
cg01341751	THRA	NM_003250;NM_021724	Body	chr17:38249260-38249603
cg01341751	NR1D1	NM_003250;NM_021724	Body	chr17:38249260-38249603
cg01438056	CIB1	NM_006384	3'UTR	chr15:90776699-90777636
cg01445163	ARL4D	NM_001661	Body	chr17:41477270-41477482
cg01464186	SGMS1	NM_147156	5'UTR	
cg01624229	FMNL2	NM_052905	Body	
cg01715088	ESPN	NM_031475	3'UTR	chr1:6520584-6521955
cg01759597	DLX6AS	NR_015448	Body	
cg01775245	MCPH1	NM_024596	Body	
cg01818539	LIG3	NM_013975;NM_002311	Body	
cg01827999	TOM1L2	NM_001033551;NM_001082968	Body	
cg01884715	GRB2	NM_002086;NM_203506	Body	
cg02000318	HOXA7	NM_006896	TSS1500	chr7:27198182-27198514
cg02030908	THRA	NM_003250;NM_021724	Body	chr17:38249260-38249603
cg02030908	NR1D1	NM_003250;NM_021724	Body	chr17:38249260-38249603
cg02035751	RASSF5	NM_182663;NM_182665;NM_182664	Body	chr1:206730397-206730908
cg02035751	RASSF5	NM_182663;NM_182665;NM_182664	TSS1500	chr1:206730397-206730908
cg02050917	SKI	NM_003036	Body	
cg02056653	PCDHGA4	NM_018917;NM_002588;NM_003735;NM_032092;NM_018914;NM_018921;NM_018912;NM_018922;NM_018926;NM_018924;NM_018927;NM_018919;NM_032088;NM_018913;NM_018918;NM_003736;NM_018928;NM_018916;NM_018915;NM_018920;NM_018923;NM_018929;NM_018925;NM_032403	Body	
cg02056653	PCDHGC3	NM_018917;NM_002588;NM_003735;NM_032092;NM_018914;NM_018921;NM_018912;NM_018922;NM_018926;NM_018924;NM_018927;NM_018919;NM_032088;NM_018913;NM_018918;NM_003736;NM_018928;NM_018916;NM_018915;NM_018920;NM_018923;NM_018929;NM_018925;NM_032403	Body	
cg02056653	PCDHGA12	NM_018917;NM_002588;NM_003735;NM_032092;NM_018914;NM_018921;NM_018912;NM_018922;NM_018926;NM_018924;NM_018927;NM_018919;NM_032088;NM_018913;NM_018918;NM_003736;NM_018928;NM_018916;NM_018915;NM_018920;NM_018923;NM_018929;NM_018925;NM_032403	Body	
cg02056653	PCDHGA11	NM_018917;NM_002588;NM_003735;NM_032092;NM_018914;NM_018921;NM_018912;NM_018922;NM_018926;NM_018924;NM_018927;NM_018919;NM_032088;NM_018913;NM_018918;NM_003736;NM_018928;NM_018916;NM_018915;NM_018920;NM_018923;NM_018929;NM_018925;NM_032403	Body	
cg02056653	PCDHGA9	NM_018917;NM_002588;NM_003735;NM_032092;NM_018914;NM_018921;NM_018912;NM_018922;NM_018926;NM_018924;NM_018927;NM_018919;NM_032088;NM_018913;NM_018918;NM_003736;NM_018928;NM_018916;NM_018915;NM_018920;NM_018923;NM_018929;NM_018925;NM_032403	Body	
cg02056653	PCDHGA1	NM_018917;NM_002588;NM_003735;NM_032092;NM_018914;NM_018921;NM_018912;NM_018922;NM_018926;NM_018924;NM_018927;NM_018919;NM_032088;NM_018913;NM_018918;NM_003736;NM_018928;NM_018916;NM_018915;NM_018920;NM_018923;NM_018929;NM_018925;NM_032403	Body	
cg02056653	PCDHGB1	NM_018917;NM_002588;NM_003735;NM_032092;NM_018914;NM_018921;NM_018912;NM_018922;NM_018926;NM_018924;NM_018927;NM_018919;NM_032088;NM_018913;NM_018918;NM_003736;NM_018928;NM_018916;NM_018915;NM_018920;NM_018923;NM_018929;NM_018925;NM_032403	Body	
cg02056653	PCDHGB6	NM_018917;NM_002588;NM_003735;NM_032092;NM_018914;NM_018921;NM_018912;NM_018922;NM_018926;NM_018924;NM_018927;NM_018919;NM_032088;NM_018913;NM_018918;NM_003736;NM_018928;NM_018916;NM_018915;NM_018920;NM_018923;NM_018929;NM_018925;NM_032403	Body	
cg02056653	PCDHGB3	NM_018917;NM_002588;NM_003735;NM_032092;NM_018914;NM_018921;NM_018912;NM_018922;NM_018926;NM_018924;NM_018927;NM_018919;NM_032088;NM_018913;NM_018918;NM_003736;NM_018928;NM_018916;NM_018915;NM_018920;NM_018923;NM_018929;NM_018925;NM_032403	Body	
cg02056653	PCDHGB7	NM_018917;NM_002588;NM_003735;NM_032092;NM_018914;NM_018921;NM_018912;NM_018922;NM_018926;NM_018924;NM_018927;NM_018919;NM_032088;NM_018913;NM_018918;NM_003736;NM_018928;NM_018916;NM_018915;NM_018920;NM_018923;NM_018929;NM_018925;NM_032403	Body	
cg02056653	PCDHGA6	NM_018917;NM_002588;NM_003735;NM_032092;NM_018914;NM_018921;NM_018912;NM_018922;NM_018926;NM_018924;NM_018927;NM_018919;NM_032088;NM_018913;NM_018918;NM_003736;NM_018928;NM_018916;NM_018915;NM_018920;NM_018923;NM_018929;NM_018925;NM_032403	Body	
cg02056653	PCDHGA8	NM_018917;NM_002588;NM_003735;NM_032092;NM_018914;NM_018921;NM_018912;NM_018922;NM_018926;NM_018924;NM_018927;NM_018919;NM_032088;NM_018913;NM_018918;NM_003736;NM_018928;NM_018916;NM_018915;NM_018920;NM_018923;NM_018929;NM_018925;NM_032403	Body	
cg02056653	PCDHGA10	NM_018917;NM_002588;NM_003735;NM_032092;NM_018914;NM_018921;NM_018912;NM_018922;NM_018926;NM_018924;NM_018927;NM_018919;NM_032088;NM_018913;NM_018918;NM_003736;NM_018928;NM_018916;NM_018915;NM_018920;NM_018923;NM_018929;NM_018925;NM_032403	Body	
cg02056653	PCDHGA5	NM_018917;NM_002588;NM_003735;NM_032092;NM_018914;NM_018921;NM_018912;NM_018922;NM_018926;NM_018924;NM_018927;NM_018919;NM_032088;NM_018913;NM_018918;NM_003736;NM_018928;NM_018916;NM_018915;NM_018920;NM_018923;NM_018929;NM_018925;NM_032403	Body	
cg02056653	PCDHGB4	NM_018917;NM_002588;NM_003735;NM_032092;NM_018914;NM_018921;NM_018912;NM_018922;NM_018926;NM_018924;NM_018927;NM_018919;NM_032088;NM_018913;NM_018918;NM_003736;NM_018928;NM_018916;NM_018915;NM_018920;NM_018923;NM_018929;NM_018925;NM_032403	Body	
cg02056653	PCDHGC4	NM_018917;NM_002588;NM_003735;NM_032092;NM_018914;NM_018921;NM_018912;NM_018922;NM_018926;NM_018924;NM_018927;NM_018919;NM_032088;NM_018913;NM_018918;NM_003736;NM_018928;NM_018916;NM_018915;NM_018920;NM_018923;NM_018929;NM_018925;NM_032403	Body	
cg02056653	PCDHGA3	NM_018917;NM_002588;NM_003735;NM_032092;NM_018914;NM_018921;NM_018912;NM_018922;NM_018926;NM_018924;NM_018927;NM_018919;NM_032088;NM_018913;NM_018918;NM_003736;NM_018928;NM_018916;NM_018915;NM_018920;NM_018923;NM_018929;NM_018925;NM_032403	Body	
cg02056653	PCDHGA2	NM_018917;NM_002588;NM_003735;NM_032092;NM_018914;NM_018921;NM_018912;NM_018922;NM_018926;NM_018924;NM_018927;NM_018919;NM_032088;NM_018913;NM_018918;NM_003736;NM_018928;NM_018916;NM_018915;NM_018920;NM_018923;NM_018929;NM_018925;NM_032403	Body	
